Time,x,y,z
0,0,0.1,0
1e-06,-0.0009999999,0.09999998,5.168793e-06
2e-06,-0.001999999,0.099999845,2.0171858e-05
3e-06,-0.0029999956,0.09999951,4.487511e-05
4e-06,-0.0039999876,0.099998884,7.913905e-05
5e-06,-0.004999971,0.09999788,0.00012283046
6e-06,-0.0059999423,0.099996395,0.00017580285
7e-06,-0.006999896,0.09999433,0.00023791497
8e-06,-0.007999826,0.099991605,0.00030902732
9e-06,-0.008999723,0.09998813,0.0003890111
1e-05,-0.00999958,0.09998381,0.00047773134
1.1e-05,-0.010999389,0.099978566,0.0005750559
1.2e-05,-0.01199914,0.0999723,0.00068085553
1.3e-05,-0.012998824,0.09996493,0.00079499686
1.4e-05,-0.013998427,0.099956386,0.0009173631
1.5e-05,-0.014997939,0.09994657,0.001047828
1.6e-05,-0.015997348,0.09993541,0.001186266
1.7e-05,-0.016996635,0.099922836,0.0013325664
1.8e-05,-0.017995792,0.09990875,0.0014866026
1.9e-05,-0.018994799,0.099893086,0.0016482625
2e-05,-0.01999364,0.09987577,0.0018174312
2.1e-05,-0.020992303,0.09985672,0.0019939905
2.2e-05,-0.021990763,0.09983587,0.0021778366
2.3e-05,-0.022989007,0.09981315,0.002368852
2.4e-05,-0.023987016,0.09978848,0.0025669285
2.5e-05,-0.024984766,0.09976179,0.002771961
2.6e-05,-0.02598224,0.099733025,0.0029838413
2.7e-05,-0.026979417,0.0997021,0.0032024642
2.8e-05,-0.027976274,0.09966896,0.003427726
2.9e-05,-0.028972788,0.09963352,0.003659525
3e-05,-0.029968938,0.09959574,0.0038977612
3.1e-05,-0.030964697,0.099555545,0.004142335
3.2e-05,-0.031960044,0.09951287,0.0043931487
3.3e-05,-0.03295495,0.09946766,0.004650106
3.4e-05,-0.03394939,0.09941985,0.0049131108
3.5e-05,-0.03494334,0.09936937,0.0051820646
3.6e-05,-0.035936773,0.09931618,0.0054568774
3.7e-05,-0.036929656,0.09926021,0.0057374565
3.8e-05,-0.03792197,0.09920141,0.006023712
3.9e-05,-0.03891368,0.09913971,0.0063155526
4e-05,-0.039904755,0.09907508,0.0066128857
4.1e-05,-0.04089517,0.099007435,0.006915626
4.2e-05,-0.041884895,0.098936744,0.0072236867
4.3e-05,-0.042873897,0.098862946,0.0075369813
4.4e-05,-0.043862145,0.09878599,0.007855426
4.5e-05,-0.044849608,0.09870582,0.008178932
4.6e-05,-0.04583625,0.09862239,0.0085074175
4.7e-05,-0.046822045,0.09853565,0.008840802
4.8e-05,-0.047806952,0.09844556,0.0091790045
4.9e-05,-0.048790943,0.09835206,0.009521943
5e-05,-0.049773984,0.098255105,0.009869535
5.1e-05,-0.050756037,0.09815465,0.010221704
5.2e-05,-0.051737066,0.098050654,0.0105783725
5.3e-05,-0.052717037,0.09794307,0.010939463
5.4e-05,-0.053695913,0.097831845,0.011304899
5.5e-05,-0.054673664,0.09771695,0.011674604
5.6e-05,-0.05565024,0.097598344,0.012048503
5.7e-05,-0.056625616,0.09747597,0.012426522
5.8e-05,-0.05759975,0.09734979,0.012808587
5.9e-05,-0.0585726,0.09721978,0.013194627
6e-05,-0.05954413,0.09708589,0.013584569
6.1e-05,-0.060514305,0.09694808,0.013978342
6.2e-05,-0.06148308,0.09680631,0.014375873
6.3e-05,-0.06245042,0.09666055,0.014777094
6.4e-05,-0.06341628,0.09651075,0.015181936
6.5e-05,-0.06438062,0.0963569,0.015590329
6.6e-05,-0.0653434,0.09619894,0.016002204
6.7e-05,-0.06630459,0.096036844,0.016417496
6.8e-05,-0.06726413,0.09587058,0.016836137
6.9e-05,-0.06822199,0.09570011,0.017258057
7e-05,-0.06917812,0.0955254,0.017683197
7.1e-05,-0.07013248,0.09534643,0.018111488
7.2e-05,-0.071085036,0.09516316,0.018542867
7.3e-05,-0.07203573,0.09497557,0.018977268
7.4e-05,-0.07298453,0.09478361,0.01941463
7.5e-05,-0.07393139,0.09458727,0.019854886
7.6e-05,-0.074876264,0.0943865,0.020297976
7.7e-05,-0.075819105,0.0941813,0.020743838
7.8e-05,-0.07675987,0.093971625,0.021192411
7.9e-05,-0.07769852,0.09375744,0.021643631
8e-05,-0.078635,0.093538746,0.022097439
8.1e-05,-0.07956927,0.0933155,0.022553775
8.2e-05,-0.080501296,0.093087666,0.023012578
8.3e-05,-0.08143101,0.09285524,0.02347379
8.4e-05,-0.082358375,0.09261819,0.023937352
8.5e-05,-0.08328336,0.09237649,0.024403203
8.6e-05,-0.08420589,0.092130125,0.024871286
8.7e-05,-0.08512594,0.09187906,0.025341542
8.8e-05,-0.086043455,0.09162329,0.025813915
8.9e-05,-0.086958386,0.09136278,0.02628835
9e-05,-0.08787069,0.09109752,0.02676479
9.1e-05,-0.08878032,0.09082748,0.027243176
9.2e-05,-0.08968722,0.09055265,0.027723456
9.3e-05,-0.09059135,0.090273015,0.028205574
9.4e-05,-0.09149266,0.08998854,0.02868947
9.5e-05,-0.0923911,0.08969922,0.029175093
9.6e-05,-0.093286626,0.08940504,0.029662387
9.7e-05,-0.09417919,0.08910597,0.0301513
9.8e-05,-0.09506873,0.088802,0.030641776
9.9e-05,-0.09595521,0.08849313,0.031133763
0.0001,-0.09683858,0.08817933,0.031627208
0.000101,-0.09771878,0.087860584,0.03212206
0.000102,-0.09859577,0.08753689,0.032618262
0.000103,-0.0994695,0.08720822,0.033115767
0.000104,-0.10033992,0.08687457,0.033614516
0.000105,-0.10120697,0.08653592,0.034114465
0.000106,-0.10207062,0.08619227,0.034615554
0.000107,-0.10293081,0.08584361,0.035117738
0.000108,-0.103787474,0.085489914,0.03562097
0.000109,-0.10464058,0.08513118,0.036125187
0.00011,-0.10549008,0.08476741,0.03663035
0.000111,-0.106335916,0.084398575,0.037136406
0.000112,-0.10717803,0.08402468,0.037643302
0.000113,-0.108016394,0.08364571,0.03815099
0.000114,-0.10885093,0.08326166,0.03865942
0.000115,-0.10968161,0.08287252,0.039168544
0.000116,-0.11050837,0.082478285,0.039678313
0.000117,-0.11133116,0.08207895,0.040188678
0.000118,-0.11214993,0.08167451,0.040699594
0.000119,-0.11296463,0.08126496,0.041211005
0.00012,-0.11377521,0.08085029,0.041722868
0.000121,-0.114581615,0.0804305,0.042235136
0.000122,-0.115383804,0.080005586,0.042747755
0.000123,-0.11618171,0.079575546,0.043260686
0.000124,-0.11697529,0.07914037,0.043773875
0.000125,-0.1177645,0.07870007,0.04428728
0.000126,-0.11854928,0.07825463,0.044800848
0.000127,-0.11932958,0.07780405,0.04531454
0.000128,-0.12010534,0.077348344,0.0458283
0.000129,-0.12087653,0.07688749,0.046342093
0.00013,-0.121643074,0.0764215,0.046855867
0.000131,-0.12240494,0.07595038,0.047369573
0.000132,-0.12316206,0.07547411,0.04788317
0.000133,-0.1239144,0.07499272,0.04839661
0.000134,-0.1246619,0.07450618,0.048909847
0.000135,-0.1254045,0.074014515,0.049422838
0.000136,-0.12614217,0.073517725,0.049935535
0.000137,-0.12687485,0.07301581,0.050447896
0.000138,-0.12760247,0.07250877,0.050959874
0.000139,-0.128325,0.071996614,0.051471427
0.00014,-0.12904239,0.07147934,0.051982507
0.000141,-0.12975457,0.07095697,0.052493073
0.000142,-0.13046151,0.07042949,0.053003076
0.000143,-0.13116315,0.06989691,0.053512476
0.000144,-0.13185942,0.069359235,0.054021228
0.000145,-0.13255031,0.06881648,0.05452929
0.000146,-0.13323574,0.06826866,0.05503662
0.000147,-0.13391566,0.06771576,0.055543166
0.000148,-0.13459004,0.0671578,0.056048892
0.000149,-0.13525881,0.06659478,0.056553755
0.00015,-0.13592191,0.066026725,0.05705771
0.000151,-0.13657932,0.06545363,0.057560712
0.000152,-0.13723098,0.06487551,0.05806272
0.000153,-0.13787681,0.06429238,0.058563694
0.000154,-0.1385168,0.063704245,0.05906359
0.000155,-0.13915089,0.06311111,0.059562363
0.000156,-0.139779,0.062513,0.060059976
