Time,x,y,z
0,0,0,0
1e-06,-1.2867978e-05,-0.0038568364,0.76914436
2e-06,-0.00010300712,-0.015468106,1.5377712
3e-06,-0.00034828152,-0.03489111,2.3053591
4e-06,-0.0008270603,-0.06217754,3.07138
5e-06,-0.0016182046,-0.0973734,3.8352957
6e-06,-0.002801022,-0.14051875,4.596553
7e-06,-0.004455186,-0.19164748,5.3545656
8e-06,-0.006660672,-0.25078684,6.1086884
9e-06,-0.00949769,-0.3179565,6.8581467
1e-05,-0.013046603,-0.3931665,7.6019053
1.1e-05,-0.017387811,-0.4764135,8.338398
1.2e-05,-0.022601584,-0.56767267,9.064982
1.3e-05,-0.028767772,-0.6668824,9.776917
1.4e-05,-0.035965316,-0.7739144,10.46557
1.5e-05,-0.04427133,-0.88852173,11.115805
1.6e-05,-0.053759553,-1.0102594,11.703718
1.7e-05,-0.064497896,-1.1383994,12.19878
1.8e-05,-0.07654547,-1.2719111,12.575337
1.9e-05,-0.08995001,-1.4095919,12.828882
2e-05,-0.10474741,-1.5503134,12.979768
2.1e-05,-0.1209635,-1.6932127,13.0595875
2.2e-05,-0.13861702,-1.8377275,13.096288
2.3e-05,-0.15772232,-1.9835266,13.1087885
2.4e-05,-0.1782912,-2.130424,13.108202
2.5e-05,-0.20033412,-2.278317,13.100599
2.6e-05,-0.22386067,-2.427146,13.089184
2.7e-05,-0.24888003,-2.5768754,13.075618
2.8e-05,-0.2754011,-2.727481,13.060762
2.9e-05,-0.3034325,-2.8789444,13.045061
3e-05,-0.33298278,-3.0312507,13.02874
3.1e-05,-0.36406028,-3.1843863,13.011915
3.2e-05,-0.39667323,-3.3383381,12.99464
3.3e-05,-0.43082973,-3.4930933,12.976941
3.4e-05,-0.46653774,-3.6486387,12.958824
3.5e-05,-0.5038051,-3.8049614,12.940286
3.6e-05,-0.5426395,-3.962048,12.921319
3.7e-05,-0.5830486,-4.1198854,12.901913
3.8e-05,-0.62503964,-4.2784586,12.882053
3.9e-05,-0.6686201,-4.4377546,12.861726
4e-05,-0.7137971,-4.597758,12.840914
4.1e-05,-0.7605776,-4.758454,12.8196
4.2e-05,-0.8089684,-4.9198265,12.797765
4.3e-05,-0.85897636,-5.0818615,12.775391
4.4e-05,-0.9106078,-5.244541,12.752455
4.5e-05,-0.9638693,-5.40785,12.728937
4.6e-05,-1.0187669,-5.57177,12.704812
4.7e-05,-1.0753067,-5.7362847,12.680057
4.8e-05,-1.1334945,-5.9013762,12.654644
4.9e-05,-1.193336,-6.067025,12.628547
5e-05,-1.2548368,-6.2332134,12.601735
5.1e-05,-1.318002,-6.399921,12.574178
5.2e-05,-1.3828368,-6.5671287,12.545841
5.3e-05,-1.4493462,-6.7348156,12.516692
5.4e-05,-1.5175347,-6.9029603,12.486691
5.5e-05,-1.5874069,-7.0715413,12.455799
5.6e-05,-1.6589669,-7.2405367,12.423973
5.7e-05,-1.7322189,-7.4099226,12.391169
5.8e-05,-1.8071666,-7.579676,12.357336
5.9e-05,-1.8838135,-7.7497725,12.322425
6e-05,-1.9621631,-7.920186,12.28638
6.1e-05,-2.0422182,-8.090891,12.249141
6.2e-05,-2.1239817,-8.261861,12.210647
6.3e-05,-2.207456,-8.433066,12.170829
6.4e-05,-2.2926438,-8.60448,12.129615
6.5e-05,-2.3795464,-8.776072,12.086928
6.6e-05,-2.4681656,-8.94781,12.042686
6.7e-05,-2.558503,-9.119664,11.9968
6.8e-05,-2.6505592,-9.291599,11.949175
6.9e-05,-2.7443352,-9.463582,11.899709
7e-05,-2.8398309,-9.635575,11.848293
7.1e-05,-2.9370465,-9.807543,11.794811
7.2e-05,-3.0359814,-9.979445,11.739138
7.3e-05,-3.136635,-10.151242,11.681138
7.4e-05,-3.2390058,-10.322892,11.620671
7.5e-05,-3.3430922,-10.49435,11.557584
7.6e-05,-3.448892,-10.66557,11.491713
7.7e-05,-3.5564027,-10.836505,11.422884
7.8e-05,-3.665621,-11.007103,11.350915
7.9e-05,-3.7765434,-11.177313,11.275609
8e-05,-3.8891656,-11.34708,11.196759
8.1e-05,-4.0034833,-11.516346,11.114148
8.2e-05,-4.1194906,-11.685051,11.027546
8.3e-05,-4.237182,-11.853131,10.936713
8.4e-05,-4.356551,-12.020522,10.8414
8.5e-05,-4.47759,-12.187154,10.741346
8.6e-05,-4.6002913,-12.352954,10.636287
8.7e-05,-4.724646,-12.517848,10.525947
8.8e-05,-4.850645,-12.681757,10.4100485
8.9e-05,-4.9782777,-12.844598,10.288311
9e-05,-5.107533,-13.006287,10.160456
9.1e-05,-5.2383995,-13.166734,10.026205
9.2e-05,-5.3708634,-13.325846,9.885289
9.3e-05,-5.5049114,-13.483529,9.737448
9.4e-05,-5.640529,-13.639684,9.582433
9.5e-05,-5.7777,-13.794208,9.420014
9.6e-05,-5.916407,-13.946996,9.24998
9.7e-05,-6.0566335,-14.097941,9.072143
9.8e-05,-6.1983595,-14.246934,8.886337
9.9e-05,-6.341565,-14.393861,8.69243
0.0001,-6.4862294,-14.538609,8.490313
0.000101,-6.63233,-14.68106,8.27991
0.000102,-6.779843,-14.821099,8.061178
0.000103,-6.9287434,-14.958606,7.8341017
0.000104,-7.079006,-15.093463,7.598696
0.000105,-7.230603,-15.225549,7.3550067
0.000106,-7.3835073,-15.354745,7.1031055
0.000107,-7.5376883,-15.480931,6.843091
0.000108,-7.6931157,-15.60399,6.575086
0.000109,-7.849757,-15.7238,6.2992363
0.00011,-8.007581,-15.840244,6.0157065
0.000111,-8.166551,-15.953207,5.7246814
0.000112,-8.3266325,-16.062572,5.4263606
0.000113,-8.48779,-16.168228,5.1209607
0.000114,-8.649984,-16.27006,4.8087106
0.000115,-8.813178,-16.367956,4.489852
0.000116,-8.97733,-16.461813,4.164638
0.000117,-9.1424,-16.55152,3.833332
0.000118,-9.308346,-16.636972,3.496207
0.000119,-9.475125,-16.718071,3.153544
0.00012,-9.642693,-16.794716,2.8056328
0.000121,-9.811005,-16.866808,2.4527707
0.000122,-9.980014,-16.934256,2.0952623
0.000123,-10.149673,-16.996965,1.7334182
0.000124,-10.319937,-17.05485,1.3675567
0.000125,-10.490754,-17.107822,0.99800134
0.000126,-10.662076,-17.1558,0.6250818
0.000127,-10.833853,-17.198706,0.24913327
0.000128,-11.006033,-17.23646,-0.12950365
0.000129,-11.178565,-17.26899,-0.5104834
0.00013,-11.351396,-17.296228,-0.8934555
0.000131,-11.524471,-17.318108,-1.278065
0.000132,-11.69774,-17.334564,-1.6639526
0.000133,-11.871144,-17.345543,-2.050755
0.000134,-12.044632,-17.350983,-2.4381049
0.000135,-12.218145,-17.350838,-2.8256314
0.000136,-12.39163,-17.345057,-3.2129607
0.000137,-12.565028,-17.333597,-3.5997155
0.000138,-12.738283,-17.316422,-3.985516
0.000139,-12.911337,-17.29349,-4.36998
0.00014,-13.084133,-17.264774,-4.7527223
0.000141,-13.256614,-17.230246,-5.1333566
0.000142,-13.428719,-17.189882,-5.5114946
0.000143,-13.600391,-17.143663,-5.8867464
0.000144,-13.771573,-17.091578,-6.258722
0.000145,-13.9422035,-17.033611,-6.627029
0.000146,-14.112226,-16.969763,-6.9912753
0.000147,-14.281579,-16.900028,-7.351069
0.000148,-14.450206,-16.824411,-7.7060175
0.000149,-14.618048,-16.742922,-8.055729
0.00015,-14.785045,-16.655571,-8.399813
0.000151,-14.951139,-16.562376,-8.737878
0.000152,-15.116273,-16.463358,-9.069536
0.000153,-15.280388,-16.358547,-9.3944
0.000154,-15.443425,-16.247969,-9.712084
0.000155,-15.605328,-16.131664,-10.022204
0.000156,-15.766039,-16.009672,-10.324382
0.000157,-15.925503,-15.882036,-10.6182375
0.000158,-16.083662,-15.748809,-10.903398
0.000159,-16.24046,-15.610044,-11.179492
0.00016,-16.395844,-15.465801,-11.446152
0.000161,-16.549759,-15.316145,-11.703014
0.000162,-16.702148,-15.161143,-11.949721
0.000163,-16.852964,-15.000872,-12.185919
0.000164,-17.00215,-14.835407,-12.411258
0.000165,-17.149654,-14.664834,-12.625396
0.000166,-17.29543,-14.489239,-12.827993
0.000167,-17.439423,-14.308714,-13.018721
0.000168,-17.581587,-14.123357,-13.19725
0.000169,-17.721874,-13.933269,-13.363265
0.00017,-17.860237,-13.738556,-13.516453
0.000171,-17.99663,-13.539329,-13.656508
0.000172,-18.13101,-13.335701,-13.783134
0.000173,-18.26333,-13.127792,-13.896043
0.000174,-18.39355,-12.915728,-13.99495
0.000175,-18.521631,-12.699633,-14.079586
0.000176,-18.647532,-12.479642,-14.149684
0.000177,-18.771212,-12.255889,-14.20499
0.000178,-18.892637,-12.028515,-14.245258
0.000179,-19.01177,-11.797664,-14.27025
0.00018,-19.128578,-11.563484,-14.279741
0.000181,-19.243029,-11.326128,-14.273514
0.000182,-19.355091,-11.085751,-14.251361
0.000183,-19.464735,-10.84251,-14.213086
0.000184,-19.571932,-10.596571,-14.1585045
0.000185,-19.676659,-10.3481,-14.087441
0.000186,-19.778887,-10.097264,-13.999735
0.000187,-19.878595,-9.844238,-13.895231
0.000188,-19.975765,-9.589199,-13.77379
0.000189,-20.070374,-9.332324,-13.635285
0.00019,-20.162405,-9.073796,-13.4796
0.000191,-20.251844,-8.813801,-13.306628
0.000192,-20.338676,-8.552525,-13.116281
0.000193,-20.422892,-8.290158,-12.908477
0.000194,-20.504477,-8.026895,-12.68315
0.000195,-20.583427,-7.762928,-12.440249
0.000196,-20.659735,-7.4984565,-12.179732
0.000197,-20.733395,-7.2336793,-11.901572
0.000198,-20.804407,-6.968797,-11.605757
0.000199,-20.87277,-6.7040133,-11.292284
0.0002,-20.938488,-6.4395328,-10.961167
0.000201,-21.001564,-6.175561,-10.612435
0.000202,-21.062002,-5.9123063,-10.246127
0.000203,-21.119812,-5.6499777,-9.862299
0.000204,-21.175005,-5.388784,-9.461019
0.000205,-21.227592,-5.128937,-9.042369
0.000206,-21.27759,-4.8706474,-8.606447
0.000207,-21.325012,-4.6141276,-8.153364
0.000208,-21.369879,-4.3595905,-7.683244
0.000209,-21.41221,-4.1072493,-7.196227
0.00021,-21.452032,-3.8573163,-6.6924667
0.000211,-21.489367,-3.6100047,-6.17213
0.000212,-21.52424,-3.3655272,-5.6353993
0.000213,-21.556686,-3.1240964,-5.0824704
0.000214,-21.586733,-2.885924,-4.5135536
0.000215,-21.614416,-2.6512215,-3.9288733
0.000216,-21.63977,-2.4201992,-3.3286674
0.000217,-21.662834,-2.193066,-2.713189
0.000218,-21.683645,-1.9700298,-2.0827034
0.000219,-21.702248,-1.751298,-1.4374913
0.00022,-21.718687,-1.5370753,-0.7778465
0.000221,-21.733006,-1.3275651,-0.10407665
0.000222,-21.745255,-1.122969,0.58349705
0.000223,-21.755482,-0.92348653,1.2845392
0.000224,-21.76374,-0.7293148,1.9987011
0.000225,-21.770086,-0.5406486,2.7256184
0.000226,-21.774574,-0.35768005,3.4649093
0.000227,-21.77726,-0.18059845,4.216171
0.000228,-21.778206,-0.009589896,4.9789667
0.000229,-21.777472,0.15516317,5.7528048
0.00023,-21.775124,0.31348282,6.5370803
0.000231,-21.771225,0.46519735,7.3309546
0.000232,-21.765842,0.61014485,8.133069
0.000233,-21.759045,0.74818164,8.9409
0.000234,-21.750902,0.8791999,9.749337
0.000235,-21.741484,1.0031676,10.547664
0.000236,-21.730862,1.1202111,11.314022
0.000237,-21.719103,1.2307627,12.008687
0.000238,-21.706264,1.335747,12.57648
0.000239,-21.6924,1.4366212,12.975114
0.00024,-21.677542,1.53505,13.211799
0.000241,-21.661703,1.632403,13.33521
0.000242,-21.644894,1.7295336,13.395935
0.000243,-21.627111,1.8268801,13.4265585
0.000244,-21.608355,1.9246432,13.443767
0.000245,-21.588617,2.0229077,13.455218
0.000246,-21.567894,2.1217067,13.464245
0.000247,-21.54618,2.2210512,13.472257
0.000248,-21.523472,2.3209426,13.479844
0.000249,-21.499762,2.4213786,13.48725
0.00025,-21.475042,2.5223548,13.494575
0.000251,-21.449312,2.6238663,13.501857
0.000252,-21.422564,2.7259078,13.509114
0.000253,-21.394793,2.8284738,13.516354
0.000254,-21.365992,2.9315586,13.523574
0.000255,-21.336159,3.0351567,13.530779
0.000256,-21.305288,3.139262,13.537967
0.000257,-21.273373,3.2438686,13.545138
0.000258,-21.240408,3.3489704,13.552293
0.000259,-21.20639,3.4545612,13.559429
0.00026,-21.171316,3.560635,13.566547
0.000261,-21.135178,3.6671853,13.5736475
0.000262,-21.097971,3.7742057,13.580729
0.000263,-21.05969,3.8816895,13.587791
0.000264,-21.020334,3.9896302,13.594834
0.000265,-20.979897,4.098021,13.601857
0.000266,-20.938374,4.206855,13.608859
0.000267,-20.895758,4.3161254,13.615842
0.000268,-20.852049,4.425825,13.622803
0.000269,-20.807241,4.535947,13.629742
0.00027,-20.76133,4.646484,13.63666
0.000271,-20.71431,4.757428,13.643556
0.000272,-20.66618,4.8687725,13.650429
0.000273,-20.616934,4.9805098,13.65728
0.000274,-20.566568,5.092632,13.664107
0.000275,-20.51508,5.205131,13.670912
0.000276,-20.462463,5.318,13.677692
0.000277,-20.408718,5.4312296,13.684449
0.000278,-20.353838,5.544813,13.691182
0.000279,-20.297821,5.658742,13.697889
0.00028,-20.240662,5.773008,13.704573
0.000281,-20.18236,5.887602,13.71123
0.000282,-20.12291,6.0025167,13.717863
0.000283,-20.06231,6.117743,13.72447
0.000284,-20.000553,6.233272,13.7310505
0.000285,-19.937643,6.349096,13.737605
0.000286,-19.873571,6.4652042,13.744133
0.000287,-19.808338,6.5815897,13.750634
0.000288,-19.74194,6.6982427,13.757109
0.000289,-19.674372,6.8151536,13.763556
0.00029,-19.605635,6.9323134,13.769975
0.000291,-19.535725,7.0497127,13.776366
0.000292,-19.46464,7.1673427,13.782729
0.000293,-19.392378,7.2851925,13.789064
0.000294,-19.318935,7.4032536,13.795371
