Time,x,y,z
0,0,0,0
1e-06,-2.2190652e-05,-0.0064233025,1.2797104
2e-06,-0.00017240157,-0.02573908,2.554133
3e-06,-0.00058022677,-0.058010433,3.822318
4e-06,-0.0013758728,-0.103290685,5.0832705
5e-06,-0.0026895544,-0.1616217,6.335853
6e-06,-0.004651911,-0.23303036,7.5784106
7e-06,-0.007393767,-0.31751886,8.807545
8e-06,-0.011045715,-0.41503078,10.014119
9e-06,-0.015737094,-0.5253431,11.171398
1e-05,-0.02159306,-0.647767,12.208364
1.1e-05,-0.028727211,-0.7805744,12.994064
1.2e-05,-0.037229165,-0.9207628,13.438861
1.3e-05,-0.047156572,-1.0652316,13.621696
1.4e-05,-0.05854163,-1.2120882,13.679763
1.5e-05,-0.0714036,-1.3605393,13.692293
1.6e-05,-0.085756786,-1.5103073,13.689781
1.7e-05,-0.10161382,-1.6612989,13.682366
1.8e-05,-0.11898673,-1.8134804,13.673278
1.9e-05,-0.13788734,-1.9668373,13.663537
2e-05,-0.15832737,-2.1213608,13.653464
2.1e-05,-0.18031843,-2.2770436,13.643163
2.2e-05,-0.20387208,-2.4338794,13.632663
2.3e-05,-0.22899982,-2.591861,13.62197
2.4e-05,-0.2557131,-2.7509818,13.611084
2.5e-05,-0.28402323,-2.9112346,13.600003
2.6e-05,-0.31394154,-3.0726123,13.588722
2.7e-05,-0.34547922,-3.2351074,13.577236
2.8e-05,-0.3786474,-3.398712,13.56554
2.9e-05,-0.41345713,-3.563418,13.553631
3e-05,-0.44991937,-3.7292175,13.541502
3.1e-05,-0.48804507,-3.896102,13.529147
3.2e-05,-0.52784497,-4.0640626,13.516562
3.3e-05,-0.56932986,-4.2330904,13.503741
3.4e-05,-0.6125103,-4.4031763,13.490678
3.5e-05,-0.65739685,-4.574311,13.477365
3.6e-05,-0.704,-4.7464843,13.463797
3.7e-05,-0.75232995,-4.919687,13.4499655
3.8e-05,-0.8023971,-5.0939074,13.435864
3.9e-05,-0.8542114,-5.2691364,13.421486
4e-05,-0.907783,-5.4453626,13.406822
4.1e-05,-0.9631217,-5.6225753,13.391866
4.2e-05,-1.0202374,-5.800762,13.376608
4.3e-05,-1.07914,-5.9799128,13.361038
4.4e-05,-1.1398387,-6.160014,13.34515
4.5e-05,-1.2023431,-6.3410544,13.328931
4.6e-05,-1.2666626,-6.523021,13.312372
4.7e-05,-1.3328063,-6.705901,13.295463
4.8e-05,-1.4007834,-6.889682,13.278192
4.9e-05,-1.4706028,-7.0743484,13.260547
5e-05,-1.542273,-7.259888,13.242515
5.1e-05,-1.6158031,-7.446286,13.224085
5.2e-05,-1.6912016,-7.6335278,13.205241
5.3e-05,-1.7684764,-7.8215985,13.185971
5.4e-05,-1.847636,-8.010483,13.166259
5.5e-05,-1.9286886,-8.200165,13.146088
5.6e-05,-2.0116417,-8.390628,13.125442
5.7e-05,-2.0965035,-8.581857,13.104303
5.8e-05,-2.1832814,-8.773833,13.082653
5.9e-05,-2.2719827,-8.966541,13.060472
6e-05,-2.3626144,-9.159961,13.037738
6.1e-05,-2.4551842,-9.354076,13.01443
6.2e-05,-2.5496984,-9.548867,12.990524
6.3e-05,-2.6461635,-9.744314,12.965996
6.4e-05,-2.7445867,-9.940399,12.940818
6.5e-05,-2.8449736,-10.137099,12.914963
6.6e-05,-2.9473305,-10.334396,12.888401
6.7e-05,-3.0516634,-10.532268,12.8611
6.8e-05,-3.1579778,-10.73069,12.833027
6.9e-05,-3.266279,-10.929644,12.804145
7e-05,-3.3765721,-11.129103,12.774414
7.1e-05,-3.4888625,-11.329045,12.743797
7.2e-05,-3.6031547,-11.529445,12.712248
7.3e-05,-3.7194529,-11.730277,12.679719
7.4e-05,-3.8377614,-11.931516,12.646162
7.5e-05,-3.9580843,-12.133135,12.611522
7.6e-05,-4.0804253,-12.335105,12.575741
7.7e-05,-4.2047873,-12.537397,12.538757
7.8e-05,-4.331174,-12.7399845,12.5005045
7.9e-05,-4.459588,-12.942833,12.460909
8e-05,-4.5900316,-13.145913,12.419896
8.1e-05,-4.722507,-13.349192,12.377381
8.2e-05,-4.8570156,-13.552633,12.333276
8.3e-05,-4.99356,-13.756205,12.287481
8.4e-05,-5.13214,-13.9598675,12.239896
8.5e-05,-5.2727575,-14.163584,12.190404
8.6e-05,-5.415412,-14.367314,12.138887
8.7e-05,-5.5601034,-14.571018,12.085213
8.8e-05,-5.706832,-14.774651,12.029239
8.9e-05,-5.855596,-14.9781685,11.970813
9e-05,-6.006395,-15.181524,11.909769
9.1e-05,-6.159226,-15.384668,11.84593
9.2e-05,-6.314087,-15.587549,11.779103
9.3e-05,-6.470976,-15.790113,11.709083
9.4e-05,-6.629888,-15.992304,11.635646
9.5e-05,-6.79082,-16.194061,11.558555
9.6e-05,-6.953768,-16.395325,11.477554
9.7e-05,-7.118725,-16.596025,11.392371
9.8e-05,-7.285686,-16.796099,11.302718
9.9e-05,-7.4546447,-16.995468,11.208286
0.0001,-7.6255927,-17.194057,11.108754
0.000101,-7.798523,-17.39179,11.003781
0.000102,-7.9734254,-17.588577,10.893015
0.000103,-8.1502905,-17.784334,10.776088
0.000104,-8.329108,-17.978964,10.652625
0.000105,-8.509866,-18.17237,10.522244
0.000106,-8.692552,-18.364452,10.384561
0.000107,-8.877151,-18.5551,10.239192
0.000108,-9.063648,-18.744202,10.085764
0.000109,-9.252028,-18.931643,9.923913
0.00011,-9.442275,-19.1173,9.753296
0.000111,-9.634368,-19.30105,9.573594
0.000112,-9.828289,-19.482761,9.384518
0.000113,-10.024016,-19.662302,9.185815
0.000114,-10.221527,-19.839535,8.97727
0.000115,-10.420799,-20.01432,8.758714
0.000116,-10.621805,-20.186518,8.530023
0.000117,-10.82452,-20.35598,8.291119
0.000118,-11.028915,-20.522564,8.041972
0.000119,-11.2349615,-20.686121,7.782602
0.00012,-11.442627,-20.846504,7.5130677
0.000121,-11.65188,-21.003565,7.233474
0.000122,-11.862687,-21.157154,6.943964
0.000123,-12.075011,-21.307127,6.6447163
0.000124,-12.288817,-21.453335,6.335943
0.000125,-12.5040655,-21.595634,6.0178847
0.000126,-12.720716,-21.733881,5.6908064
0.000127,-12.938728,-21.867933,5.354997
0.000128,-13.15806,-21.99765,5.0107646
0.000129,-13.378667,-22.122898,4.658434
0.00013,-13.600503,-22.243536,4.298347
0.000131,-13.823522,-22.359438,3.9308574
0.000132,-14.047675,-22.47047,3.556332
0.000133,-14.272915,-22.576508,3.1751487
0.000134,-14.499188,-22.677427,2.787695
0.000135,-14.726446,-22.77311,2.3943672
0.000136,-14.954633,-22.863438,1.9955709
0.000137,-15.183696,-22.948298,1.5917188
0.000138,-15.41358,-23.027578,1.183231
0.000139,-15.644229,-23.10118,0.7705349
0.00014,-15.875585,-23.168995,0.3540637
0.000141,-16.10759,-23.230928,-0.06574295
0.000142,-16.340183,-23.286884,-0.48843992
0.000143,-16.573307,-23.336777,-0.9135768
0.000144,-16.806898,-23.380518,-1.3406982
0.000145,-17.040895,-23.418028,-1.7693442
0.000146,-17.275238,-23.449232,-2.1990507
0.000147,-17.50986,-23.474054,-2.6293497
0.000148,-17.744698,-23.492434,-3.0597699
0.000149,-17.979687,-23.504301,-3.4898365
0.00015,-18.214762,-23.509605,-3.919072
0.000151,-18.449856,-23.508291,-4.346997
0.000152,-18.684906,-23.50031,-4.773129
0.000153,-18.91984,-23.485622,-5.1969852
0.000154,-19.154596,-23.46419,-5.618081
0.000155,-19.389101,-23.435978,-6.03593
0.000156,-19.623293,-23.400965,-6.4500465
0.000157,-19.857098,-23.359123,-6.8599443
0.000158,-20.090452,-23.310442,-7.265137
0.000159,-20.323284,-23.254908,-7.6651397
0.00016,-20.555527,-23.192516,-8.059467
0.000161,-20.787111,-23.123266,-8.4476385
0.000162,-21.01797,-23.047165,-8.829171
0.000163,-21.248032,-22.964224,-9.203587
0.000164,-21.477232,-22.874458,-9.57041
0.000165,-21.7055,-22.777893,-9.929167
0.000166,-21.932768,-22.674557,-10.279388
0.000167,-22.158968,-22.56448,-10.620609
0.000168,-22.384035,-22.447704,-10.952367
0.000169,-22.6079,-22.324274,-11.274206
0.00017,-22.830498,-22.19424,-11.585674
0.000171,-23.051764,-22.05766,-11.886326
0.000172,-23.27163,-21.914595,-12.17572
0.000173,-23.490034,-21.765114,-12.453423
0.000174,-23.706911,-21.60929,-12.719007
0.000175,-23.922197,-21.447199,-12.972052
0.000176,-24.135834,-21.278929,-13.212144
0.000177,-24.347755,-21.104568,-13.438879
0.000178,-24.557905,-20.924213,-13.65186
0.000179,-24.76622,-20.737967,-13.8506975
0.00018,-24.972645,-20.545933,-14.035013
0.000181,-25.17712,-20.348223,-14.204436
0.000182,-25.379591,-20.144957,-14.358605
0.000183,-25.580002,-19.936255,-14.4971695
0.000184,-25.7783,-19.722244,-14.61979
0.000185,-25.97443,-19.50306,-14.726137
0.000186,-26.168343,-19.278837,-14.815891
0.000187,-26.35999,-19.049719,-14.888745
0.000188,-26.549322,-18.815855,-14.944405
0.000189,-26.736292,-18.577396,-14.982584
0.00019,-26.920855,-18.334501,-15.003014
0.000191,-27.102966,-18.087328,-15.005433
0.000192,-27.282587,-17.836048,-14.989598
0.000193,-27.459675,-17.580828,-14.9552765
0.000194,-27.634192,-17.321842,-14.902246
0.000195,-27.806099,-17.059273,-14.830305
0.000196,-27.975365,-16.793303,-14.73926
0.000197,-28.141954,-16.524115,-14.628932
0.000198,-28.305838,-16.251905,-14.499161
0.000199,-28.466984,-15.976866,-14.349796
0.0002,-28.625364,-15.699196,-14.180707
0.000201,-28.780958,-15.419096,-13.991772
0.000202,-28.933739,-15.136772,-13.78289
0.000203,-29.083687,-14.852431,-13.553974
0.000204,-29.230782,-14.566285,-13.304952
0.000205,-29.375008,-14.278547,-13.035766
0.000206,-29.516348,-13.989434,-12.746378
0.000207,-29.65479,-13.699164,-12.436763
0.000208,-29.790327,-13.407961,-12.106913
0.000209,-29.922949,-13.116046,-11.756836
0.00021,-30.052647,-12.823646,-11.386558
0.000211,-30.17942,-12.530987,-10.9961195
0.000212,-30.303267,-12.2383,-10.585578
0.000213,-30.424187,-11.945815,-10.155009
0.000214,-30.542185,-11.653764,-9.704504
0.000215,-30.657265,-11.36238,-9.23417
0.000216,-30.769434,-11.071898,-8.744132
0.000217,-30.878706,-10.782553,-8.234531
0.000218,-30.98509,-10.49458,-7.705527
0.000219,-31.088602,-10.208216,-7.1572933
0.00022,-31.18926,-9.9236965,-6.5900226
0.000221,-31.287083,-9.641259,-6.0039225
0.000222,-31.382093,-9.361139,-5.399219
0.000223,-31.474314,-9.083573,-4.7761526
0.000224,-31.563774,-8.808796,-4.134981
0.000225,-31.650501,-8.537044,-3.47598
0.000226,-31.734526,-8.268548,-2.7994385
0.000227,-31.815884,-8.003544,-2.1056635
0.000228,-31.89461,-7.7422614,-1.3949779
0.000229,-31.970741,-7.4849315,-0.66771984
0.00023,-32.044323,-7.231782,0.07575626
0.000231,-32.11539,-6.983039,0.8350801
0.000232,-32.184,-6.738928,1.6098646
0.000233,-32.250187,-6.4996696,2.3997078
0.000234,-32.314007,-6.2654843,3.2041914
0.000235,-32.375515,-6.036589,4.0228705
0.000236,-32.434757,-5.8131976,4.855264
0.000237,-32.491795,-5.5955195,5.70083
0.000238,-32.546688,-5.3837605,6.558896
0.000239,-32.59949,-5.17812,7.4284983
0.00024,-32.650272,-4.9787846,8.307962
0.000241,-32.69909,-4.7859197,9.193892
0.000242,-32.74601,-4.599638,10.078791
0.000243,-32.791103,-4.419937,10.945662
0.000244,-32.83443,-4.2465568,11.7584305
0.000245,-32.876053,-4.0787363,12.454199
0.000246,-32.91602,-3.915007,12.963768
0.000247,-32.95436,-3.7534018,13.269999
0.000248,-32.99109,-3.5921378,13.425694
0.000249,-33.0262,-3.4300773,13.499409
0.00025,-33.059685,-3.266654,13.536148
0.000251,-33.09153,-3.1016243,13.557758
0.000252,-33.12171,-2.9348905,13.57347
0.000253,-33.15022,-2.766415,13.586932
0.000254,-33.177036,-2.596184,13.599544
0.000255,-33.202137,-2.424192,13.611829
0.000256,-33.225513,-2.2504373,13.6239805
0.000257,-33.247143,-2.0749197,13.636071
0.000258,-33.267006,-1.8976395,13.648126
0.000259,-33.285088,-1.7185974,13.660149
0.00026,-33.301373,-1.5377944,13.672143
0.000261,-33.315838,-1.3552314,13.68411
0.000262,-33.328472,-1.1709099,13.696051
0.000263,-33.33925,-0.9848311,13.707963
0.000264,-33.34816,-0.79699683,13.719847
0.000265,-33.355186,-0.60740864,13.731701
0.000266,-33.360302,-0.4160688,13.743525
0.000267,-33.3635,-0.22297971,13.755317
0.000268,-33.364758,-0.028143853,13.767077
0.000269,-33.36406,0.16843642,13.778805
0.00027,-33.36138,0.3667582,13.7905
0.000271,-33.356716,0.5668187,13.80216
0.000272,-33.35004,0.76861554,13.8137865
0.000273,-33.34134,0.9721442,13.825377
0.000274,-33.330593,1.1774015,13.836933
0.000275,-33.317787,1.3843846,13.848453
0.000276,-33.3029,1.5930879,13.859936
0.000277,-33.28592,1.8035083,13.871382
0.000278,-33.266823,2.015642,13.882791
0.000279,-33.2456,2.2294824,13.894161
0.00028,-33.22223,2.4450262,13.905493
0.000281,-33.196693,2.6622689,13.916786
0.000282,-33.16898,2.8812034,13.9280405
0.000283,-33.139065,3.1018257,13.939256
0.000284,-33.106937,3.3241303,13.95043
0.000285,-33.07258,3.5481105,13.961564
0.000286,-33.03597,3.7737606,13.972657
0.000287,-32.997097,4.0010743,13.98371
0.000288,-32.955944,4.230045,13.994721
0.000289,-32.91249,4.460666,14.005692
0.00029,-32.866726,4.6929307,14.016619
0.000291,-32.81863,4.926831,14.027505
0.000292,-32.768185,5.1623597,14.038348
0.000293,-32.715378,5.3995094,14.049149
0.000294,-32.66019,5.638272,14.059906
0.000295,-32.602608,5.878639,14.070621
0.000296,-32.542614,6.1206026,14.081292
0.000297,-32.48019,6.364154,14.091919
0.000298,-32.415325,6.6092834,14.102503
0.000299,-32.348,6.8559833,14.113043
0.0003,-32.278202,7.104243,14.123539
0.000301,-32.20591,7.3540535,14.13399
0.000302,-32.131115,7.605405,14.144397
0.000303,-32.0538,7.858287,14.154759
0.000304,-31.973946,8.112689,14.165076
0.000305,-31.89154,8.368601,14.175349
0.000306,-31.806568,8.626012,14.185576
0.000307,-31.719015,8.884912,14.195759
0.000308,-31.628866,9.145287,14.205895
0.000309,-31.536104,9.407126,14.215987
0.00031,-31.44072,9.67042,14.226032
0.000311,-31.342693,9.935154,14.2360325
0.000312,-31.242012,10.201317,14.245987
0.000313,-31.138662,10.468895,14.255896
0.000314,-31.032629,10.737876,14.2657585
0.000315,-30.9239,11.008247,14.275575
0.000316,-30.81246,11.279994,14.285345
0.000317,-30.698296,11.553104,14.29507
0.000318,-30.581394,11.827563,14.304748
0.000319,-30.46174,12.103356,14.31438
