Time,x,y,z
0,0,0,0
1e-06,-2.2191036e-05,-0.0064234426,1.2797526
2e-06,-0.00017240715,-0.025740169,2.5543013
3e-06,-0.00058025477,-0.0580141,3.8226957
4e-06,-0.0013759605,-0.10329936,5.08394
5e-06,-0.0026897672,-0.16163865,6.3368955
6e-06,-0.0046523516,-0.2330596,7.579905
7e-06,-0.007394581,-0.31756523,8.809563
8e-06,-0.011047101,-0.4150997,10.016706
9e-06,-0.015739307,-0.5254402,11.174512
1e-05,-0.021596402,-0.64789623,12.211697
1.1e-05,-0.028732004,-0.7807347,12.996948
1.2e-05,-0.03723569,-0.9209469,13.440842
1.3e-05,-0.047165018,-1.0654308,13.62299
1.4e-05,-0.05855212,-1.2122973,13.680731
1.5e-05,-0.071416214,-1.3607559,13.693136
1.6e-05,-0.085771605,-1.5105301,13.690582
1.7e-05,-0.10163089,-1.6615274,13.683158
1.8e-05,-0.11900611,-1.8137143,13.674069
1.9e-05,-0.13790908,-1.9670761,13.664333
2e-05,-0.15835153,-2.1216042,13.654267
2.1e-05,-0.18034504,-2.2772913,13.643972
2.2e-05,-0.20390119,-2.434131,13.63348
2.3e-05,-0.22903147,-2.592116,13.622795
2.4e-05,-0.25574732,-2.7512403,13.6119175
2.5e-05,-0.28406006,-2.9114962,13.600844
2.6e-05,-0.31398097,-3.0728762,13.589572
2.7e-05,-0.3455213,-3.2353735,13.5780945
2.8e-05,-0.37869215,-3.39898,13.566408
2.9e-05,-0.41350457,-3.5636878,13.554508
3e-05,-0.44996953,-3.7294884,13.542388
3.1e-05,-0.48809794,-3.8963735,13.530044
3.2e-05,-0.5279006,-4.064335,13.517469
3.3e-05,-0.56938815,-4.2333627,13.504659
3.4e-05,-0.61257136,-4.403448,13.491606
3.5e-05,-0.65746063,-4.574582,13.478304
3.6e-05,-0.7040664,-4.7467546,13.464747
3.7e-05,-0.7523991,-4.9199553,13.450928
3.8e-05,-0.8024689,-5.0941744,13.436839
3.9e-05,-0.85428584,-5.269401,13.422474
4e-05,-0.9078601,-5.445625,13.407824
4.1e-05,-0.96320146,-5.622834,13.392881
4.2e-05,-1.0203198,-5.801018,13.377637
4.3e-05,-1.0792247,-5.9801645,13.3620825
4.4e-05,-1.1399261,-6.160262,13.34621
4.5e-05,-1.202433,-6.341298,13.330007
4.6e-05,-1.2667549,-6.5232596,13.313464
4.7e-05,-1.3329009,-6.7061343,13.296571
4.8e-05,-1.4008803,-6.889909,13.279318
4.9e-05,-1.4707018,-7.0745697,13.261691
5e-05,-1.5423744,-7.2601027,13.243678
5.1e-05,-1.6159066,-7.4464936,13.225267
5.2e-05,-1.691307,-7.6337285,13.206446
5.3e-05,-1.7685838,-7.821791,13.187196
5.4e-05,-1.8477453,-8.010668,13.167505
5.5e-05,-1.9287997,-8.200341,13.147358
5.6e-05,-2.0117548,-8.390796,13.126736
5.7e-05,-2.096618,-8.582015,13.105622
5.8e-05,-2.1833975,-8.773982,13.083999
5.9e-05,-2.2721,-8.96668,13.061844
6e-05,-2.3627334,-9.16009,13.039139
6.1e-05,-2.4553041,-9.354195,13.015861
6.2e-05,-2.5498195,-9.548974,12.991985
6.3e-05,-2.6462858,-9.7444105,12.967489
6.4e-05,-2.7447097,-9.940484,12.942346
6.5e-05,-2.8450975,-10.137173,12.916525
6.6e-05,-2.9474552,-10.334457,12.89
6.7e-05,-3.0517886,-10.532316,12.862739
6.8e-05,-3.1581032,-10.730726,12.834705
6.9e-05,-3.2664049,-10.9296665,12.805867
7e-05,-3.3766983,-11.129113,12.776182
7.1e-05,-3.4889886,-11.3290415,12.745612
7.2e-05,-3.6032805,-11.5294285,12.714112
7.3e-05,-3.7195785,-11.730247,12.681636
7.4e-05,-3.8378868,-11.931472,12.648133
7.5e-05,-3.958209,-12.133077,12.61355
7.6e-05,-4.0805492,-12.335033,12.577831
7.7e-05,-4.2049108,-12.5373125,12.540912
7.8e-05,-4.3312964,-12.739884,12.502727
7.9e-05,-4.459709,-12.94272,12.463204
8e-05,-4.590152,-13.145786,12.422268
8.1e-05,-4.7226257,-13.3490505,12.379834
8.2e-05,-4.857133,-13.55248,12.335814
8.3e-05,-4.9936757,-13.756037,12.290112
8.4e-05,-5.132254,-13.959686,12.242622
8.5e-05,-5.2728696,-14.16339,12.193234
8.6e-05,-5.415522,-14.367109,12.141828
8.7e-05,-5.5602117,-14.570801,12.088269
8.8e-05,-5.706938,-14.774423,12.03242
8.9e-05,-5.8556995,-14.97793,11.974127
9e-05,-6.0064955,-15.181276,11.913225
9.1e-05,-6.159324,-15.384411,11.849536
9.2e-05,-6.314183,-15.587284,11.782871
9.3e-05,-6.471069,-15.789842,11.713023
9.4e-05,-6.6299787,-15.992026,11.63977
9.5e-05,-6.790908,-16.193779,11.562875
9.6e-05,-6.9538527,-16.39504,11.482082
9.7e-05,-7.118807,-16.59574,11.397123
9.8e-05,-7.285765,-16.795813,11.307708
9.9e-05,-7.454721,-16.995186,11.21353
0.0001,-7.625666,-17.19378,11.114266
0.000101,-7.7985935,-17.39152,11.009579
0.000102,-7.9734936,-17.588318,10.899116
0.000103,-8.150356,-17.784086,10.782508
0.000104,-8.329171,-17.978731,10.659383
0.000105,-8.509927,-18.172157,10.529357
0.000106,-8.69261,-18.36426,10.392044
0.000107,-8.877208,-18.554932,10.247064
0.000108,-9.063704,-18.744062,10.094037
0.000109,-9.252083,-18.931536,9.932602
0.00011,-9.442328,-19.117231,9.762413
0.000111,-9.634421,-19.301022,9.583149
0.000112,-9.828342,-19.482779,9.394519
0.000113,-10.02407,-19.662369,9.196266
0.000114,-10.221581,-19.839657,8.988174
0.000115,-10.420855,-20.014502,8.770071
0.000116,-10.621863,-20.186762,8.541829
0.000117,-10.824581,-20.356293,8.303369
0.000118,-11.028979,-20.52295,8.054655
0.000119,-11.23503,-20.686584,7.7957053
0.00012,-11.4427,-20.84705,7.526577
0.000121,-11.651959,-21.004196,7.2473717
0.000122,-11.862773,-21.157875,6.95823
0.000123,-12.075105,-21.307941,6.6593285
0.000124,-12.288919,-21.454248,6.3508773
0.000125,-12.504177,-21.59665,6.0331154
0.000126,-12.720839,-21.735,5.7063065
0.000127,-12.938863,-21.869162,5.3707376
0.000128,-13.158208,-21.99899,5.026716
0.000129,-13.378828,-22.12435,4.6745663
0.00013,-13.600679,-22.245104,4.3146276
0.000131,-13.823714,-22.361122,3.9472544
0.000132,-14.047886,-22.472275,3.5728126
0.000133,-14.273143,-22.578432,3.191679
0.000134,-14.499437,-22.679474,2.804241
0.000135,-14.726715,-22.775278,2.4108946
0.000136,-14.954925,-22.865728,2.0120447
0.000137,-15.184011,-22.95071,1.6081039
0.000138,-15.41392,-23.030115,1.1994922
0.000139,-15.644595,-23.103836,0.7866366
0.00014,-15.8759775,-23.171772,0.36997044
0.000141,-16.108011,-23.233824,-0.050066803
0.000142,-16.340635,-23.289898,-0.47302994
0.000143,-16.573788,-23.339907,-0.8984685
0.000144,-16.807411,-23.38376,-1.3259269
0.000145,-17.041443,-23.42138,-1.7549452
0.000146,-17.275818,-23.452688,-2.1850588
0.000147,-17.510475,-23.477615,-2.6157994
0.000148,-17.74535,-23.49609,-3.0466955
0.000149,-17.980375,-23.508055,-3.4772718
0.00015,-18.215488,-23.513447,-3.9070504
0.000151,-18.450623,-23.512217,-4.3355513
0.000152,-18.68571,-23.504314,-4.7622914
0.000153,-18.920687,-23.489698,-5.186787
0.000154,-19.155483,-23.468332,-5.6085534
0.000155,-19.39003,-23.440182,-6.0271025
0.000156,-19.624264,-23.40522,-6.441949
0.000157,-19.858112,-23.363424,-6.8526044
0.000158,-20.091509,-23.314781,-7.2585826
0.000159,-20.324385,-23.259277,-7.659397
0.00016,-20.556671,-23.196907,-8.054563
0.000161,-20.7883,-23.12767,-8.443595
0.000162,-21.019203,-23.051573,-8.826013
0.000163,-21.24931,-22.968628,-9.201335
0.000164,-21.478552,-22.878849,-9.569086
0.000165,-21.706863,-22.782259,-9.92879
0.000166,-21.934175,-22.678886,-10.279977
0.000167,-22.16042,-22.568766,-10.622179
0.000168,-22.385529,-22.451935,-10.954935
0.000169,-22.609434,-22.32844,-11.277785
0.00017,-22.832075,-22.198328,-11.590278
0.000171,-23.05338,-22.06166,-11.891963
0.000172,-23.273287,-21.918497,-12.182402
0.000173,-23.491728,-21.768906,-12.461156
0.000174,-23.708643,-21.612957,-12.7277975
0.000175,-23.923967,-21.450733,-12.981904
0.000176,-24.137636,-21.282318,-13.223062
0.000177,-24.349592,-21.107801,-13.450862
0.000178,-24.559772,-20.927277,-13.664907
0.000179,-24.768118,-20.740847,-13.864807
0.00018,-24.974571,-20.548618,-14.0501795
0.000181,-25.179071,-20.350702,-14.220653
0.000182,-25.381565,-20.147219,-14.375865
0.000183,-25.581999,-19.938284,-14.515463
0.000184,-25.780313,-19.724031,-14.639104
0.000185,-25.976461,-19.504591,-14.746457
0.000186,-26.17039,-19.280102,-14.837203
0.000187,-26.362047,-19.050707,-14.91103
