Time,v1,v2,vRL
0,0,0.001,1.8665073e-08
1e-06,5.3101616e-05,0.0009946001,7.9392055e-07
2e-06,0.00010715067,0.0009889612,1.5642402e-06
3e-06,0.00016216334,0.000983099,2.3293558e-06
4e-06,0.00021814078,0.0009770143,3.0892484e-06
5e-06,0.0002751043,0.000970726,3.8436287e-06
6e-06,0.00033304995,0.0009642305,4.592551e-06
7e-06,0.00039200706,0.00095755147,5.3356766e-06
8e-06,0.0004519729,0.00095068675,6.0730385e-06
9e-06,0.0005129775,0.00094365806,6.804366e-06
1e-05,0.0005750214,0.00093646586,7.5296543e-06
1.1e-05,0.0006381263,0.00092912343,8.2487795e-06
1.2e-05,0.0007023131,0.00092164427,8.961607e-06
1.3e-05,0.00076759304,0.0009140354,9.668065e-06
1.4e-05,0.0008339816,0.0009063067,1.0368057e-05
1.5e-05,0.00090150855,0.0008984732,1.1061502e-05
1.6e-05,0.0009701962,0.0008905472,1.1748313e-05
1.7e-05,0.001040059,0.0008825381,1.2428389e-05
1.8e-05,0.0011111166,0.0008744573,1.3101637e-05
1.9e-05,0.0011834031,0.00086631766,1.3768081e-05
2e-05,0.0012569487,0.0008581316,1.4427714e-05
2.1e-05,0.0013317689,0.0008499101,1.5080412e-05
2.2e-05,0.001407887,0.0008416647,1.5726111e-05
2.3e-05,0.0014853544,0.0008334088,1.6364987e-05
2.4e-05,0.0015641915,0.0008251539,1.6996957e-05
2.5e-05,0.0016444239,0.0008169119,1.7621971e-05
2.6e-05,0.0017260846,0.00080869504,1.8240049e-05
2.7e-05,0.001809229,0.00080051675,1.8851373e-05
2.8e-05,0.0018938775,0.0007923887,1.9455863e-05
2.9e-05,0.0019800633,0.00078432297,2.0053538e-05
3e-05,0.0020678346,0.0007763329,2.0644511e-05
3.1e-05,0.0021572416,0.00076843175,2.1228912e-05
3.2e-05,0.0022483128,0.0007606316,2.1806729e-05
3.3e-05,0.0023410874,0.00075294485,2.2378013e-05
3.4e-05,0.0024356337,0.0007453861,2.2942999e-05
3.5e-05,0.0025319913,0.0007379681,2.3501745e-05
3.6e-05,0.0026302002,0.0007307033,2.4054312e-05
3.7e-05,0.002730308,0.00072360504,2.4600804e-05
3.8e-05,0.002832389,0.00071668805,2.5141477e-05
3.9e-05,0.0029364866,0.0007099652,2.5676412e-05
4e-05,0.0030426572,0.0007034501,2.6205767e-05
4.1e-05,0.0031509618,0.00069715676,2.6729716e-05
4.2e-05,0.0032614663,0.0006910994,2.724846e-05
4.3e-05,0.0033742324,0.0006852919,2.7762182e-05
4.4e-05,0.0034893262,0.0006797486,2.827109e-05
4.5e-05,0.0036068168,0.00067448383,2.8775401e-05
4.6e-05,0.0037267783,0.00066951226,2.927534e-05
4.7e-05,0.0038492829,0.0006648485,2.9771149e-05
4.8e-05,0.0039744065,0.00066050724,3.0263076e-05
4.9e-05,0.0041022277,0.0006565035,3.0751384e-05
5e-05,0.004232829,0.00065285235,3.1236348e-05
5.1e-05,0.0043662954,0.0006495692,3.1718242e-05
5.2e-05,0.0045027123,0.0006466693,3.2197368e-05
5.3e-05,0.0046421685,0.0006441681,3.267403e-05
5.4e-05,0.0047847554,0.0006420815,3.3148543e-05
5.5e-05,0.004930575,0.0006404256,3.3621243e-05
5.6e-05,0.005079721,0.00063921633,3.409247e-05
5.7e-05,0.005232295,0.00063846994,3.4562578e-05
5.8e-05,0.0053883996,0.00063820276,3.5031928e-05
5.9e-05,0.005548149,0.0006384319,3.5500907e-05
6e-05,0.005711654,0.00063917437,3.596991e-05
6.1e-05,0.0058790282,0.00064044696,3.643934e-05
6.2e-05,0.0060503883,0.000642267,3.6909612e-05
6.3e-05,0.006225858,0.0006446521,3.7381156e-05
6.4e-05,0.00640557,0.0006476208,3.7854432e-05
6.5e-05,0.0065896497,0.00065119076,3.832989e-05
6.6e-05,0.006778231,0.0006553802,3.8808004e-05
6.7e-05,0.0069714496,0.0006602077,3.928925e-05
6.8e-05,0.007169455,0.0006656928,3.977415e-05
