Time,v1,v2,vRL
0,0,0,0
1e-07,0.0046447637,-1.5838647e-05,0.17451742
2e-07,0.018350651,-0.009088499,0.34245977
3e-07,0.04075928,-0.026851384,0.5034367
4e-07,0.07149266,-0.052918643,0.6570974
5e-07,0.11015532,-0.0868873,0.80313075
6e-07,0.15633637,-0.12833934,0.94126487
7e-07,0.20961152,-0.17684378,1.0712668
8e-07,0.26954523,-0.23195872,1.1929418
9e-07,0.33569264,-0.29323342,1.306133
1e-06,0.4076016,-0.36021018,1.4107208
1.1e-06,0.48481452,-0.43242645,1.5066212
1.2e-06,0.56687033,-0.50941646,1.5937859
1.3e-06,0.65330637,-0.5907134,1.6722004
1.4e-06,0.74366,-0.67585075,1.7418832
1.5e-06,0.8374704,-0.76436454,1.8028846
1.6e-06,0.93428034,-0.8557945,1.855285
1.7e-06,1.0336375,-0.9496858,1.8991945
1.8e-06,1.1350962,-1.0455908,1.9347502
1.9e-06,1.2382187,-1.1430699,1.9621154
2e-06,1.3425764,-1.2416935,1.9814783
2.1e-06,1.4477515,-1.3410428,1.99305
2.2e-06,1.5533378,-1.4407111,1.9970627
2.3e-06,1.658942,-1.5403051,1.9937688
2.4e-06,1.7641846,-1.6394454,1.9834387
2.5e-06,1.8687009,-1.7377679,1.9663596
2.6e-06,1.9721415,-1.8349245,1.9428331
2.7e-06,2.074174,-1.9305834,1.9131743
2.8e-06,2.174482,-2.0244303,1.87771
2.9e-06,2.2727678,-2.1161687,1.8367769
3e-06,2.3687506,-2.2055206,1.7907197
3.1e-06,2.462169,-2.2922266,1.7398907
3.2e-06,2.5527797,-2.376046,1.6846466
3.3e-06,2.640359,-2.4567573,1.6253484
3.4e-06,2.7247014,-2.534159,1.5623593
3.5e-06,2.8056216,-2.6080685,1.4960431
3.6e-06,2.8829534,-2.6783226,1.4267632
3.7e-06,2.9565492,-2.7447774,1.3548813
3.8e-06,3.026281,-2.8073087,1.2807556
3.9e-06,3.0920396,-2.8658106,1.2047405
4e-06,3.153734,-2.9201963,1.1271843
4.1e-06,3.211292,-2.9703968,1.0484289
4.2e-06,3.2646587,-3.016362,0.9688089
