Time,x,y,z
0,0.0009998,0.0009998,0.0009998
0.01,0.0010127074,0.0012690101,0.0009963183
0.02,0.0010499044,0.0015437047,0.0009928518
0.03,0.0011102041,0.0018295571,0.0009894012
0.04,0.0011928956,0.002132354,0.0009859675
0.05,0.0012977745,0.0024580571,0.0009825516
0.06,0.0014253354,0.0028120447,0.000979155
0.07,0.001576264,0.0032002584,0.0009757795
0.08,0.0017520707,0.0036295727,0.00097242784
0.09,0.001954031,0.0041066324,0.00096910255
0.1,0.0021849757,0.0046390938,0.00096580817
0.11,0.0024473213,0.0052343826,0.0009625489
0.12,0.0027448132,0.005901646,0.0009593318
0.13,0.003081193,0.0066499296,0.00095616403
0.14,0.0034611642,0.0074902717,0.00095305656
0.15,0.0038898468,0.008434226,0.00095002144
0.16,0.004372707,0.009494366,0.00094707357
0.17,0.004916869,0.010686386,0.00094423495
0.18,0.0055294856,0.0120262345,0.00094152987
0.19,0.0062191784,0.013532971,0.0009389921
0.2,0.006995379,0.015227302,0.0009366616
0.21,0.007869045,0.017133301,0.000934593
0.22,0.008852141,0.019277137,0.00093284977
0.23,0.00995854,0.021689175,0.0009315197
0.24,0.011203328,0.02440236,0.00093070365
0.25,0.012604147,0.027455205,0.0009305434
0.26,0.0141800055,0.030889176,0.0009311985
0.27,0.015953345,0.03475321,0.0009328988
0.28,0.017948028,0.03909932,0.00093589234
0.29,0.020192381,0.043989256,0.0009405448
0.3,0.0227171,0.049489897,0.00094727025
0.31,0.025557542,0.0556783,0.0009566381
0.32,0.028752964,0.062640004,0.00096932583
0.33,0.032348037,0.07047233,0.0009862434
0.34,0.036392525,0.07928371,0.0010084775
0.35,0.040942933,0.089197256,0.0010374858
0.36,0.04606215,0.10034995,0.0010750025
0.37,0.051821735,0.112897724,0.0011233672
0.38,0.05830118,0.12701373,0.0011853505
0.39,0.06559112,0.14289542,0.0012647068
0.4,0.07379216,0.16076195,0.00136587
0.41,0.083019,0.18086323,0.0014948607
0.42,0.09339905,0.2034767,0.001658777
0.43,0.105077446,0.22891861,0.0018672715
0.44,0.118215464,0.2575402,0.0021317243
0.45,0.13299651,0.28974095,0.002467453
0.46,0.14962484,0.32596567,0.0028927894
0.47,0.16833259,0.36671996,0.003432265
0.48,0.1893786,0.41256744,0.0041154926
0.49,0.21305625,0.4641468,0.004981474
0.5,0.23969337,0.5221717,0.00607788
0.51,0.26966026,0.5874481,0.007466369
0.52,0.30337262,0.66088045,0.009224355
0.53,0.34129813,0.74348605,0.011449642
0.54,0.3839634,0.83640975,0.014267171
0.55,0.43195927,0.94093543,0.01783303
0.56,0.48595127,1.0585083,0.022346465
0.57,0.5466876,1.1907516,0.028060205
0.58,0.615008,1.3394852,0.035291396
0.59,0.6918567,1.5067524,0.044442404
0.6,0.77829415,1.6948441,0.05602273
0.61,0.87551045,1.9063255,0.07067471
0.62,0.98484164,2.1440678,0.08921244
0.63,1.107786,2.411279,0.11266518
0.64,1.2460221,2.7115357,0.14233436
0.65,1.4014268,3.0488145,0.17985596
0.66,1.5760983,3.4275258,0.22729687
0.67,1.772377,3.8525393,0.28726768
0.68,1.992867,4.3292046,0.36305237
0.69,2.2404568,4.863354,0.45878467
0.7,2.5183382,5.4612913,0.57965124
0.71,2.830018,6.1297345,0.7321579
0.72,3.179327,6.875729,0.92442375
0.73,3.570411,7.706477,1.166557
0.74,4.007704,8.629068,1.4710879
0.75,4.4958687,9.650068,1.8534639
0.76,5.039703,10.7749195,2.3325768
0.77,5.6439776,12.007091,2.9313133
0.78,6.3131948,13.346875,3.6770554
0.79,7.051243,14.789812,4.60202
0.8,7.8609047,16.324604,5.7432837
0.81,8.743185,17.930511,7.142217
0.82,9.696445,19.574318,8.8430195
0.83,10.715305,21.207043,10.889911
0.84,11.789349,22.760883,13.322486
0.85,12.901701,24.147234,16.168934
0.86,14.0276575,25.257017,19.436995
0.87,15.13365,25.964983,23.103352
0.88,16.176975,26.139421,27.103163
0.89,17.106775,25.658213,31.322666
0.9,17.866724,24.430231,35.598804
0.91,18.399635,22.41851,39.72953
0.92,18.653658,19.659018,43.49633
0.93,18.589176,16.267756,46.696377
0.94,18.184935,12.431189,49.176826
0.95,17.441849,8.380137,50.861515
0.96,16.383408,4.3536777,51.761475
0.97,15.052541,0.5634986,51.966557
0.98,13.505818,-2.831577,51.622032
0.99,11.806503,-5.735927,50.8987
1,10.01799,-8.113222,49.965073
1.01,8.198743,-9.973171,48.967403
1.02,6.3991838,-11.354923,48.01919
1.03,4.660417,-12.31179,47.19871
1.04,3.01436,-12.899828,46.551895
1.05,1.4847234,-13.170855,46.097805
1.06,0.08837641,-13.16933,45.834778
1.07,-1.1632699,-12.932014,45.74616
1.08,-2.2630656,-12.4893055,45.805195
1.09,-3.2072103,-11.8673315,45.979107
1.1,-3.994631,-11.090138,46.232426
1.11,-4.626621,-10.18151,46.529793
1.12,-5.1066523,-9.166179,46.838272
1.13,-5.440289,-8.070316,47.129223
1.14,-5.6351213,-6.9213643,47.37966
1.15,-5.7006607,-5.747309,47.573067
1.16,-5.648161,-4.575631,47.6996
1.17,-5.490349,-3.4321265,47.755764
1.18,-5.2410655,-2.3398223,47.743595
1.19,-4.914859,-1.3181322,47.66951
1.2,-4.5265403,-0.38234523,47.54298
1.21,-4.09076,0.45653653,47.37521
1.22,-3.621619,1.19165,47.177895
1.23,-3.1323426,1.8198847,46.962242
1.24,-2.6350334,2.3413513,46.73824
1.25,-2.1405003,2.7587876,46.51416
1.26,-1.6581601,3.0769696,46.296352
1.27,-1.1960018,3.3021762,46.08922
1.28,-0.76060295,3.4417324,45.895336
1.29,-0.3571835,3.5036356,45.715702
1.3,0.010315102,3.4962637,45.550022
1.31,0.33913246,3.4281497,45.397022
1.32,0.62758315,3.3078084,45.254765
1.33,0.8749459,3.1436024,45.12094
1.34,1.0813516,2.943632,44.993103
1.35,1.2476735,2.7156441,44.868874
1.36,1.3754178,2.4669542,44.7461
1.37,1.4666202,2.204376,44.62295
1.38,1.523744,1.9341639,44.49797
1.39,1.5495843,1.6619655,44.370113
1.4,1.5471765,1.392787,44.23872
1.41,1.5197116,1.1309725,44.103485
1.42,1.4704583,0.8801983,43.96441
1.43,1.4026912,0.64348155,43.82173
1.44,1.3196301,0.4232018,43.67587
1.45,1.224385,0.2211354,43.52736
1.46,1.1199123,0.03849883,43.376797
1.47,1.0089755,-0.124003105,43.22479
1.48,0.8941211,-0.26611918,43.07191
1.49,0.7776571,-0.38799503,42.918694
1.5,0.66164154,-0.4901149,42.765587
1.51,0.5478764,-0.5732454,42.612965
1.52,0.43790776,-0.63838166,42.4611
1.53,0.33303064,-0.68669635,42.3102
1.54,0.23429886,-0.7194932,42.16039
1.55,0.14253715,-0.7381655,42.01172
1.56,0.05835643,-0.74415845,41.864197
1.57,-0.017829206,-0.73893696,41.717785
1.58,-0.085784264,-0.72395724,41.57241
1.59,-0.14543281,-0.70064324,41.427986
1.6,-0.19683921,-0.6703666,41.28442
1.61,-0.24018906,-0.63443106,41.1416
1.62,-0.2757705,-0.59405965,40.999443
1.63,-0.30395633,-0.5503856,40.857857
1.64,-0.32518706,-0.50444555,40.716763
1.65,-0.33995515,-0.457176,40.5761
1.66,-0.34879023,-0.40941143,40.435825
1.67,-0.35224614,-0.36188465,40.295895
1.68,-0.3508888,-0.3152289,40.156296
1.69,-0.34528586,-0.26998124,40.017014
1.7,-0.3359976,-0.22658703,39.878044
1.71,-0.32356912,-0.18540561,39.73939
1.72,-0.30852392,-0.14671628,39.60107
1.73,-0.29135862,-0.110725075,39.463097
1.74,-0.272539,-0.07757156,39.32548
1.75,-0.25249678,-0.04733599,39.188248
1.76,-0.23162764,-0.020046223,39.05141
1.77,-0.21029007,0.004315343,38.914986
1.78,-0.18880479,0.025805188,38.77899
1.79,-0.16745502,0.04451236,38.64344
1.8,-0.14648718,0.060552575,38.508343
1.81,-0.12611222,0.07406273,38.37371
1.82,-0.10650712,0.0851959,38.239544
1.83,-0.0878169,0.0941168,38.105854
1.84,-0.07015668,0.1009977,37.97264
1.85,-0.053614013,0.106014915,37.839905
1.86,-0.038251296,0.10934561,37.707645
1.87,-0.02410819,0.111165166,37.575867
1.88,-0.011204073,0.11164495,37.44456
1.89,0.0004595759,0.110950544,37.31373
1.9,0.010896876,0.109240375,37.18337
1.91,0.020135228,0.10666408,37.05347
1.92,0.028213028,0.10336099,36.924034
1.93,0.035178144,0.099461734,36.79506
1.94,0.041085385,0.095085554,36.66654
1.95,0.04599569,0.09034216,36.53847
1.96,0.0499735,0.085329935,36.410854
1.97,0.053086665,0.080137886,36.28368
1.98,0.055403944,0.07484435,36.15695
1.99,0.056995027,0.06951851,36.030666
2,0.057928838,0.0642201,35.904816
2.01,0.058273014,0.05900034,35.779404
2.02,0.058093537,0.05390256,35.65443
2.03,0.05745332,0.048962407,35.52989
2.04,0.05641296,0.044209015,35.405777
2.05,0.055029184,0.03966516,35.282097
2.06,0.053355705,0.03534815,35.158848
2.07,0.05144214,0.03127029,35.036022
2.08,0.049334604,0.02743947,34.913628
2.09,0.047075264,0.023859715,34.791656
2.1,0.04470247,0.020531736,34.67011
2.11,0.042251,0.0174533,34.548985
2.12,0.039751753,0.014619894,34.42828
2.13,0.03723239,0.0120248515,34.308
2.14,0.034717042,0.009660035,34.188133
2.15,0.032226834,0.007515874,34.068687
2.16,0.029779833,0.005581931,33.949657
2.17,0.027391413,0.003846976,33.831043
2.18,0.025074366,0.0022993204,33.71284
2.19,0.022839144,0.00092704885,33.595055
2.2,0.020694066,-0.00028194932,33.477676
2.21,0.018645512,-0.0013395774,33.36071
2.22,0.016698118,-0.0022576961,33.244152
2.23,0.014854985,-0.0030477417,33.128002
