Time,x,y,z
0,0.001,0.001,0.001
0.01,0.0010130096,0.0012699922,0.0009966836
0.02,0.0010506341,0.0015444545,0.0009933814
0.03,0.0011113303,0.001829781,0.0009900938
0.04,0.0011941993,0.0021322214,0.0009868217
0.05,0.0012990274,0.0024578122,0.0009835664
0.06,0.0014262082,0.0028124803,0.000980329
0.07,0.00157668,0.0032022728,0.0009771117
0.08,0.0017518823,0.0036335252,0.00097391685
0.09,0.0019537278,0.0041129906,0.0009707475
0.1,0.0021846178,0.0046479176,0.0009676075
0.11,0.0024474433,0.005246237,0.0009645019
0.12,0.0027456153,0.0059166774,0.00096143683
0.13,0.0030830945,0.0066689076,0.0009584204
0.14,0.0034644327,0.0075136777,0.0009554627
0.15,0.0038948257,0.008462982,0.0009525764
0.16,0.0043801875,0.009530248,0.0009497778
0.17,0.0049272277,0.010730537,0.0009470873
0.18,0.005543542,0.012080759,0.0009445312
0.19,0.0062377118,0.013599907,0.0009421424
0.2,0.0070194146,0.015309315,0.0009399628
0.21,0.007899563,0.01723296,0.0009380454
0.22,0.008890455,0.01939782,0.00093645736
0.23,0.010005946,0.021834238,0.0009352838
0.24,0.011261642,0.024576366,0.0009346325
0.25,0.012675117,0.027662627,0.0009346402
0.26,0.014266156,0.031136261,0.00093547994
0.27,0.016057031,0.03504592,0.000937371
0.28,0.018072817,0.039446376,0.0009405911
0.29,0.02034174,0.044399265,0.00094549224
0.3,0.022895576,0.049973954,0.0009525203
0.31,0.025770085,0.056248527,0.00096224016
0.32,0.029005526,0.06331087,0.0009753681
0.33,0.032647207,0.071259886,0.0009928101
0.34,0.03674613,0.0802069,0.0010157148
0.35,0.041359697,0.09027722,0.0010455374
0.36,0.04655252,0.101611875,0.0010841215
0.37,0.052397326,0.1143696,0.0011338023
0.38,0.058975954,0.12872905,0.001197536
0.39,0.06638054,0.14489128,0.0012790711
0.4,0.07471478,0.16308266,0.0013831573
0.41,0.084095396,0.18355794,0.0015158121
0.42,0.09465376,0.20660381,0.0016846559
0.43,0.10653771,0.23254292,0.0018993366
0.44,0.11991363,0.2617384,0.0021720792
0.45,0.13496885,0.294599,0.002518385
0.46,0.15191416,0.33158472,0.0029578875
0.47,0.17098682,0.3732132,0.00351545
0.48,0.1924538,0.42006692,0.0042225546
0.49,0.2166156,0.4728013,0.005119103
0.5,0.2438104,0.53215396,0.006255661
0.51,0.27441874,0.5989546,0.0076962668
0.52,0.30886886,0.6741369,0.009522018
0.53,0.34764257,0.7587505,0.01183564
0.54,0.39128196,0.85397637,0.014767301
0.55,0.4403969,0.9611422,0.018481826
0.56,0.49567333,1.08174,0.023187948
0.57,0.5578827,1.2174464,0.029149981
0.58,0.6278924,1.3701446,0.036702674
0.59,0.7066774,1.541948,0.04626986
0.6,0.7953332,1.7352269,0.058388043
0.61,0.89509034,1.9526373,0.073736064
0.62,1.0073298,2.1971514,0.09317317
0.63,1.1336008,2.4720902,0.11778591
0.64,1.2756395,2.781157,0.1489481
0.65,1.4353887,3.1284704,0.18839592
0.66,1.6150199,3.5185962,0.23832135
0.67,1.8169552,3.9565725,0.30149034
0.68,2.0438893,4.4479294,0.38138855
0.69,2.2988102,4.99869,0.48240262
0.7,2.5850189,5.61535,0.61004335
0.71,2.9061396,6.304817,0.77121764
0.72,3.2661262,7.074304,0.97455764
0.73,3.669249,7.9311347,1.2308111
0.74,4.120064,8.882444,1.5532964
0.75,4.6233435,9.934725,1.9584175
0.76,5.1839685,11.093157,2.4662182
0.77,5.806748,12.360669,3.1009405
0.78,6.4961514,13.736631,3.8915122
0.79,7.2559223,15.215115,4.8718414
0.8,8.088538,16.782637,6.0807266
0.81,8.994483,18.415392,7.5611076
0.82,9.971301,20.076029,9.3582735
0.83,11.012422,21.710285,11.516574
0.84,12.105797,23.244019,14.074158
0.85,13.232434,24.581627,17.055418
0.86,14.365045,25.607244,20.46123
0.87,15.467137,26.190405,24.257889
0.88,16.493017,26.19767,28.366838
0.89,17.389204,25.510723,32.65855
0.9,18.097694,24.049303,36.954754
0.91,18.561165,21.794474,41.042362
0.92,18.729637,18.805359,44.69979
0.93,18.56747,15.222046,47.731487
0.94,18.059141,11.250707,50.002033
0.95,17.212217,7.132941,51.459496
0.96,16.056717,3.1076856,52.14065
0.97,14.640978,-0.6232122,52.157135
0.98,13.025203,-3.9168067,51.668453
0.99,11.274323,-6.6949415,50.851048
1,9.451662,-8.936664,49.871742
1.01,7.6143465,-10.662912,48.870174
1.02,5.8107433,-11.91946,47.950848
1.03,4.079668,-12.762284,47.182602
1.04,2.4508553,-13.247303,46.60271
1.05,0.9461408,-13.424605,46.22284
1.06,-0.4191052,-13.336347,46.035336
1.07,-1.6346115,-13.017134,46.018814
1.08,-2.6940815,-12.4958105,46.142902
1.09,-3.594377,-11.79777,46.372185
1.1,-4.334999,-10.947159,46.66946
1.11,-4.917805,-9.968593,46.998505
1.12,-5.346885,-8.888155,47.326366
1.13,-5.6285057,-7.7336345,47.62518
1.14,-5.771048,-6.5340843,47.87341
1.15,-5.784884,-5.3188634,48.056538
