Time,hares,foxes
0,700,10
0.1,702.45526,9.945211
0.2,704.9211,9.890845
0.3,707.3974,9.836897
0.4,709.8844,9.783365
0.5,712.382,9.730246
0.6,714.8903,9.677536
0.7,717.4093,9.625233
0.8,719.9391,9.573333
0.9,722.4796,9.521833
1,725.031,9.470733
1.1,727.5932,9.420026
1.2,730.1663,9.369711
1.3,732.7504,9.319785
1.4,735.34546,9.270245
1.5,737.95154,9.221088
1.6,740.5686,9.172312
1.7,743.1968,9.123913
1.8,745.8361,9.07589
1.9,748.4866,9.028237
2,751.14825,8.980955
2.1,753.82117,8.93404
2.2,756.5054,8.887488
2.3,759.2009,8.841299
2.4,761.9078,8.795467
2.5,764.62604,8.749993
2.6,767.3558,8.704872
2.7,770.0969,8.660102
2.8,772.8496,8.615681
2.9,775.6139,8.571605
3,778.3897,8.527873
3.1,781.1772,8.484483
3.2,783.9764,8.441431
3.3,786.78723,8.398715
3.4,789.60986,8.356333
3.5,792.44434,8.314282
3.6,795.2906,8.272561
3.7,798.14874,8.231167
3.8,801.0188,8.190096
3.9,803.9009,8.149348
4,806.7949,8.10892
4.1,809.701,8.0688095
4.2,812.6192,8.029014
4.3,815.54956,7.9895315
4.4,818.492,7.95036
4.5,821.4468,7.911497
4.6,824.41376,7.872941
4.7,827.393,7.834689
4.8,830.38464,7.7967396
4.9,833.3887,7.75909
5,836.40515,7.721739
5.1,839.4341,7.6846833
5.2,842.4755,7.6479216
5.3,845.5296,7.6114516
5.4,848.59625,7.5752716
5.5,851.67554,7.5393796
5.6,854.7675,7.503773
5.7,857.8723,7.468451
5.8,860.98987,7.43341
5.9,864.12024,7.3986497
6,867.2635,7.364167
6.1,870.4197,7.329961
6.2,873.58887,7.2960286
6.3,876.77106,7.262369
6.4,879.9663,7.2289796
6.5,883.1746,7.1958594
6.6,886.3962,7.163006
6.7,889.6309,7.1304173
6.8,892.8789,7.098092
6.9,896.1402,7.066028
7,899.4148,7.0342245
7.1,902.7028,7.0026784
7.2,906.00433,6.971389
7.3,909.3193,6.940354
7.4,912.64777,6.909572
7.5,915.98987,6.879041
7.6,919.34564,6.84876
7.7,922.715,6.8187265
7.8,926.0982,6.78894
7.9,929.4951,6.7593975
8,932.9059,6.7300982
8.1,936.3305,6.7010407
8.2,939.7691,6.672223
8.3,943.2217,6.643644
8.4,946.68823,6.615301
8.5,950.1689,6.587194
8.6,953.6637,6.559321
8.7,957.17267,6.5316796
8.8,960.6959,6.5042696
8.9,964.2334,6.4770885
9,967.7853,6.4501357
9.1,971.3515,6.423409
9.2,974.9321,6.396908
9.3,978.5273,6.37063
9.4,982.137,6.3445745
9.5,985.7613,6.3187394
9.6,989.4002,6.293124
9.7,993.0539,6.267727
9.8,996.7223,6.2425466
9.9,1000.40546,6.2175817
10,1004.1035,6.192831
10.1,1007.81647,6.168293
10.2,1011.54443,6.143966
10.3,1015.28735,6.11985
10.4,1019.0454,6.0959425
10.5,1022.81854,6.072243
10.6,1026.6069,6.04875
10.7,1030.4104,6.025462
10.8,1034.2292,6.002378
10.9,1038.0635,5.979497
11,1041.9131,5.9568176
11.1,1045.7782,5.934339
11.2,1049.6588,5.9120593
11.3,1053.5549,5.889978
11.4,1057.4667,5.8680935
11.5,1061.3942,5.846405
11.6,1065.3373,5.824911
11.7,1069.2963,5.8036113
11.8,1073.2711,5.7825036
11.9,1077.2618,5.7615876
12,1081.2686,5.7408624
12.1,1085.2913,5.720326
12.2,1089.3301,5.6999784
12.3,1093.385,5.6798177
12.4,1097.4562,5.6598434
12.5,1101.5436,5.6400547
12.6,1105.6472,5.62045
12.7,1109.7673,5.6010284
