Time,hares,foxes
0,700,10
1,725.031,9.470733
2,751.14825,8.980955
3,778.3897,8.527873
4,806.7949,8.10892
5,836.40515,7.721739
6,867.2635,7.364167
7,899.4148,7.0342245
8,932.9059,6.7300982
9,967.7853,6.4501357
10,1004.1035,6.192831
11,1041.9131,5.9568176
12,1081.2686,5.7408624
13,1122.2263,5.543854
14,1164.8451,5.364804
15,1209.1854,5.2028327
16,1255.31,5.057175
17,1303.2838,4.9271717
18,1353.174,4.812268
19,1405.0493,4.712015
20,1458.9813,4.62607
21,1515.0432,4.5541973
22,1573.3104,4.496273
23,1633.8601,4.4522896
24,1696.7715,4.4223638
25,1762.1252,4.4067454
26,1830.0039,4.405832
27,1900.491,4.4201803
28,1973.671,4.45053
29,2049.6292,4.4978256
30,2128.451,4.5632453
31,2210.2207,4.648239
32,2295.0225,4.754573
33,2382.9373,4.8843822
34,2474.0435,5.0402412
35,2568.4146,5.225245
36,2666.1172,5.4431124
37,2767.2097,5.6983123
38,2871.7388,5.996221
39,2979.737,6.3433175
40,3091.217,6.747428
41,3206.1682,7.2180276
42,3324.5486,7.766624
43,3446.2773,8.407235
44,3571.2244,9.156987
45,3699.1975,10.036875
46,3829.9265,11.072706
47,3963.0422,12.296301
48,4098.0513,13.746981
49,4234.304,15.473434
50,4370.9575,17.536015
51,4506.923,20.009544
52,4640.809,22.986677
53,4770.853,26.581797
54,4894.836,30.935347
55,5009.9956,36.21826
56,5112.9346,42.63585
57,5199.539,50.429924
58,5264.932,59.877213
59,5303.499,71.28108
60,5309.03,84.95274
61,5275.05,101.17736
62,5195.3867,120.16166
63,5065.0083,141.9631
64,4881.0757,166.40831
65,4644.039,193.01881
66,4358.4697,220.9723
67,4033.268,249.12933
68,3680.992,276.14105
69,3316.3276,300.62537
70,2954.0662,321.36758
71,2607.1648,337.48773
72,2285.4062,348.52957
73,1994.8881,354.45886
74,1738.2623,355.58997
75,1515.4406,352.47617
76,1324.459,345.7976
77,1162.2798,336.26825
78,1025.4143,324.57074
79,910.3478,311.3177
80,813.7926,297.03403
81,732.8138,282.15387
82,664.87067,267.02576
