Time,x,y,z
0,0.001,0.001,0.001
0.1,-0.00016744934,0.0010783656,0.019937826
0.2,-0.0031359561,0.0009482147,0.037068285
0.3,-0.007702969,0.00043337955,0.052549824
0.4,-0.013664109,-0.00062509906,0.066520505
0.5,-0.020812923,-0.0023685999,0.07910248
0.6,-0.028941305,-0.004920467,0.09040561
0.7,-0.037840217,-0.008385454,0.10053009
0.8,-0.047300722,-0.01284931,0.10956859
0.9,-0.057115242,-0.018378478,0.11760792
1,-0.06707897,-0.025019906,0.12473025
1.1,-0.07699138,-0.032800987,0.13101403
1.2,-0.08665788,-0.041729707,0.1365346
1.3,-0.09589144,-0.051794924,0.14136444
1.4,-0.104514174,-0.06296683,0.1455734
1.5,-0.11235898,-0.075197585,0.14922883
1.6,-0.11927097,-0.08842209,0.15239528
1.7,-0.12510893,-0.10255896,0.15513462
1.8,-0.12974659,-0.11751168,0.15750572
1.9,-0.13307378,-0.13316979,0.15956436
2,-0.13499738,-0.14941034,0.16136302
2.1,-0.13544229,-0.16609938,0.16295083
2.2,-0.13435195,-0.18309364,0.1643734
2.3,-0.13168897,-0.20024213,0.16567282
2.4,-0.12743533,-0.21738806,0.16688766
2.5,-0.12159263,-0.23437065,0.16805293
2.6,-0.114182025,-0.25102696,0.16920024
2.7,-0.105243914,-0.26719394,0.17035782
2.8,-0.094837636,-0.2827102,0.17155065
2.9,-0.08304082,-0.29741812,0.17280057
3,-0.06994865,-0.31116548,0.17412643
3.1,-0.055672888,-0.3238076,0.17554416
3.2,-0.0403408,-0.33520886,0.17706692
3.3,-0.024093855,-0.3452445,0.17870522
3.4,-0.0070863124,-0.35380217,0.18046694
3.5,0.010516361,-0.36078346,0.18235742
3.6,0.028539192,-0.3661051,0.18437953
3.7,0.046799533,-0.36970034,0.18653363
3.8,0.06510901,-0.3715197,0.18881762
3.9,0.083275534,-0.371532,0.1912269
4,0.10110544,-0.36972493,0.19375435
4.1,0.11840561,-0.36610544,0.1963903
4.2,0.13498572,-0.36070007,0.19912252
4.3,0.15066038,-0.35355484,0.20193616
4.4,0.16525146,-0.34473512,0.20481381
4.5,0.17859013,-0.33432508,0.2077355
4.6,0.19051903,-0.32242712,0.21067874
4.7,0.20089428,-0.30916098,0.21361877
4.8,0.20958737,-0.29466254,0.21652864
4.9,0.21648693,-0.27908257,0.2193795
5,0.22150032,-0.2625852,0.22214097
5.1,0.22455503,-0.24534623,0.22478154
5.2,0.22559978,-0.22755131,0.22726908
5.3,0.2246055,-0.20939387,0.22957145
5.4,0.22156598,-0.19107305,0.23165707
5.5,0.21649818,-0.17279147,0.23349573
5.6,0.20944235,-0.15475297,0.23505923
5.7,0.20046175,-0.13716027,0.23632224
5.8,0.18964215,-0.12021266,0.23726287
5.9,0.17709094,-0.10410369,0.23786354
6,0.16293603,-0.08901893,0.23811144
6.1,0.14732441,-0.07513383,0.23799905
6.2,0.13042046,-0.06261162,0.23752457
6.3,0.11240413,-0.051601414,0.23669206
6.4,0.09346876,-0.0422365,0.23551145
6.5,0.073818915,-0.03463273,0.23399849
6.6,0.053667925,-0.028887175,0.23217434
6.7,0.0332355,-0.02507697,0.23006514
6.8,0.012745184,-0.023258414,0.22770137
6.9,-0.007578168,-0.023466267,0.22511716
7,-0.027510872,-0.025713319,0.22234942
7.1,-0.04683287,-0.029990194,0.21943706
7.2,-0.0653301,-0.036265377,0.21642007
7.3,-0.08279679,-0.04448549,0.21333869
7.4,-0.099037535,-0.054575797,0.21023268
7.5,-0.113869414,-0.06644093,0.20714056
7.6,-0.12712377,-0.07996583,0.20409909
7.7,-0.13864799,-0.09501685,0.20114267
7.8,-0.14830695,-0.11144312,0.19830309
7.9,-0.1559845,-0.12907799,0.19560924
8,-0.1615846,-0.14774075,0.19308695
8.1,-0.16503234,-0.16723837,0.19075897
8.2,-0.16627477,-0.18736745,0.18864496
8.3,-0.1652815,-0.20791629,0.18676172
8.4,-0.16204524,-0.22866699,0.1851232
8.5,-0.15658191,-0.24939765,0.18374081
8.6,-0.14893079,-0.2698847,0.18262358
8.7,-0.13915427,-0.28990522,0.1817784
8.8,-0.1273375,-0.30923915,0.18121019
8.9,-0.11358782,-0.32767183,0.18092217
9,-0.09803388,-0.34499604,0.18091592
9.1,-0.08082469,-0.36101452,0.18119162
9.2,-0.062128335,-0.375542,0.18174802
9.3,-0.04213055,-0.38840738,0.1825826
9.4,-0.021033077,-0.3994556,0.18369153
9.5,0.0009481725,-0.40854967,0.1850696
9.6,0.023585148,-0.41557223,0.18671024
9.7,0.046639845,-0.4204271,0.1886053
9.8,0.06986665,-0.42304063,0.1907449
9.9,0.093014844,-0.4233627,0.19311741
10,0.11583117,-0.4213677,0.19570902
10.1,0.13806255,-0.41705516,0.19850369
10.2,0.15945886,-0.41044992,0.20148285
10.3,0.17977576,-0.40160236,0.2046252
10.4,0.19877742,-0.3905882,0.20790657
10.5,0.21623945,-0.3775079,0.21129972
10.6,0.23195158,-0.36248598,0.21477425
10.7,0.24572034,-0.3456698,0.21829663
10.8,0.2573716,-0.3272284,0.22183023
10.9,0.266753,-0.30735067,0.22533555
11,0.27373594,-0.28624356,0.22877052
11.1,0.2782178,-0.26412985,0.23209101
11.2,0.2801233,-0.24124591,0.23525134
11.3,0.27940607,-0.21783896,0.23820515
11.4,0.2760495,-0.19416444,0.24090625
11.5,0.27006733,-0.17048311,0.24330965
11.6,0.261504,-0.14705807,0.24537261
