Time,x,y,z
0,0.001,0.001,0.001
0.01,0.00097003294,0.0010118692,0.0029801119
0.02,0.0009202664,0.0010233431,0.004940558
0.03,0.00085088325,0.0010342415,0.0068815146
0.04,0.000762079,0.001044373,0.0088031655
0.05,0.0006540405,0.0010535565,0.010705684
0.06,0.000526977,0.00106159,0.012589265
0.07,0.00038109274,0.0010682783,0.014454091
0.08,0.00021659359,0.0010734267,0.016300347
0.09,3.3678705e-05,0.0010768522,0.0181282
0.1,-0.00016744934,0.0010783656,0.019937826
0.11,-0.00038658825,0.0010777797,0.0217294
0.12,-0.00062353455,0.0010749104,0.02350309
0.13,-0.0008780863,0.0010695697,0.02525907
0.14,-0.0011500425,0.0010615843,0.026997494
0.15,-0.0014392016,0.0010507746,0.028718526
0.16,-0.0017453614,0.0010369587,0.03042233
0.17,-0.002068319,0.001019971,0.03210905
0.18,-0.0024078728,0.0009996301,0.03377885
0.19,-0.0027638194,0.0009757676,0.03543188
0.2,-0.0031359561,0.0009482147,0.037068285
0.21,-0.00352408,0.0009167975,0.038688224
0.22,-0.0039279866,0.00088135805,0.040291827
0.23,-0.004347474,0.0008417239,0.041879248
0.24,-0.0047823368,0.00079773215,0.043450635
0.25,-0.005232372,0.0007492249,0.045006115
0.26,-0.005697374,0.0006960399,0.046545837
0.27,-0.00617714,0.0006380183,0.048069935
0.28,-0.0066714645,0.0005750033,0.049578544
0.29,-0.0071801427,0.0005068408,0.051071797
0.3,-0.007702969,0.00043337955,0.052549824
0.31,-0.008239739,0.00035446728,0.054012757
0.32,-0.008790245,0.0002699547,0.05546072
0.33,-0.009354284,0.00017969435,0.05689384
0.34,-0.009931647,8.354026e-05,0.05831225
0.35,-0.010522131,-1.8651923e-05,0.059716064
0.36,-0.011125527,-0.00012702426,0.06110541
0.37,-0.011741631,-0.00024171728,0.062480412
0.38,-0.0123702325,-0.00036286973,0.06384118
0.39,-0.013011128,-0.0004906186,0.065187834
0.4,-0.013664109,-0.00062509906,0.066520505
0.41,-0.014328967,-0.0007664446,0.067839295
0.42,-0.015005496,-0.0009147868,0.06914432
0.43,-0.01569349,-0.0010702558,0.0704357
0.44,-0.016392736,-0.0012329794,0.071713544
0.45,-0.017103031,-0.001403083,0.07297796
0.46,-0.017824166,-0.0015806917,0.07422906
0.47,-0.01855593,-0.001765928,0.07546695
0.48,-0.019298116,-0.0019589127,0.076691754
0.49,-0.020050516,-0.0021597648,0.077903554
0.5,-0.020812923,-0.0023685999,0.07910248
0.51,-0.021585125,-0.002585534,0.08028862
0.52,-0.022366917,-0.0028106805,0.081462085
0.53,-0.023158086,-0.003044151,0.082622975
0.54,-0.023958424,-0.0032860548,0.08377139
0.55,-0.024767723,-0.003536499,0.08490744
0.56,-0.025585774,-0.0037955898,0.08603122
0.57,-0.026412366,-0.0040634307,0.087142825
0.58,-0.027247293,-0.0043401243,0.08824236
0.59,-0.028090341,-0.0046257703,0.08932993
0.6,-0.028941305,-0.004920467,0.09040561
0.61,-0.029799975,-0.0052243103,0.09146952
0.62,-0.03066614,-0.005537395,0.092521735
0.63,-0.031539593,-0.005859813,0.093562365
0.64,-0.03242012,-0.006191656,0.094591506
0.65,-0.03330752,-0.006533012,0.09560923
0.66,-0.034201577,-0.006883967,0.09661566
0.67,-0.035102084,-0.0072446074,0.09761086
0.68,-0.03600883,-0.007615015,0.09859494
0.69,-0.036921613,-0.00799527,0.09956799
0.7,-0.037840217,-0.008385454,0.10053009
0.71,-0.038764436,-0.008785642,0.10148133
0.72,-0.039694063,-0.00919591,0.10242181
0.73,-0.040628884,-0.009616331,0.103351615
0.74,-0.041568696,-0.010046977,0.10427083
0.75,-0.042513292,-0.010487916,0.10517954
0.76,-0.043462463,-0.010939216,0.106077835
0.77,-0.044415995,-0.011400944,0.1069658
0.78,-0.04537369,-0.0118731605,0.107843526
0.79,-0.046335336,-0.01235593,0.10871109
0.8,-0.047300722,-0.01284931,0.10956859
0.81,-0.04826965,-0.013353361,0.1104161
0.82,-0.04924191,-0.013868135,0.1112537
0.83,-0.050217293,-0.014393689,0.11208148
0.84,-0.0511956,-0.014930073,0.112899534
0.85,-0.052176617,-0.015477338,0.11370792
0.86,-0.053160142,-0.01603553,0.114506744
0.87,-0.054145973,-0.0166047,0.11529607
0.88,-0.0551339,-0.017184885,0.11607599
0.89,-0.056123726,-0.017776132,0.116846584
0.9,-0.057115242,-0.018378478,0.11760792
0.91,-0.058108248,-0.018991964,0.1183601
0.92,-0.05910254,-0.019616624,0.11910319
0.93,-0.060097914,-0.020252494,0.11983727
0.94,-0.061094172,-0.020899607,0.12056243
0.95,-0.06209111,-0.02155799,0.12127873
0.96,-0.06308852,-0.022227673,0.12198626
0.97,-0.06408621,-0.022908684,0.122685105
0.98,-0.06508399,-0.023601044,0.123375334
0.99,-0.066081636,-0.02430478,0.12405702
1,-0.06707897,-0.025019906,0.12473025
1.01,-0.06807578,-0.025746448,0.12539509
1.02,-0.069071874,-0.026484417,0.12605163
1.03,-0.07006706,-0.02723383,0.12669995
1.04,-0.071061134,-0.0279947,0.12734011
1.05,-0.07205391,-0.028767038,0.12797219
1.06,-0.07304518,-0.029550852,0.12859626
1.07,-0.07403475,-0.030346151,0.12921241
1.08,-0.07502244,-0.031152938,0.1298207
1.09,-0.076008044,-0.031971216,0.13042122
1.1,-0.07699138,-0.032800987,0.13101403
1.11,-0.07797224,-0.03364225,0.13159922
1.12,-0.07895046,-0.034495004,0.13217685
1.13,-0.07992582,-0.03535924,0.132747
1.14,-0.08089815,-0.036234956,0.13330974
1.15,-0.081867255,-0.037122145,0.13386513
1.16,-0.08283295,-0.038020793,0.13441326
1.17,-0.08379504,-0.038930885,0.1349542
1.18,-0.08475335,-0.039852414,0.13548802
1.19,-0.085707694,-0.04078536,0.1360148
1.2,-0.08665788,-0.041729707,0.1365346
1.21,-0.08760373,-0.042685434,0.13704748
1.22,-0.08854506,-0.04365252,0.13755356
1.23,-0.08948169,-0.044630937,0.13805285
1.24,-0.09041344,-0.045620672,0.13854545
1.25,-0.091340125,-0.046621684,0.13903143
1.26,-0.092261575,-0.047633953,0.13951086
1.27,-0.0931776,-0.048657447,0.1399838
1.28,-0.09408804,-0.049692128,0.14045033
1.29,-0.09499271,-0.050737966,0.14091052
1.3,-0.09589144,-0.051794924,0.14136444
1.31,-0.09678404,-0.052862965,0.14181215
1.32,-0.09767036,-0.053942047,0.14225371
1.33,-0.098550215,-0.05503213,0.14268921
1.34,-0.099423446,-0.05613317,0.14311871
1.35,-0.100289874,-0.05724512,0.14354226
1.36,-0.10114933,-0.058367934,0.14395995
1.37,-0.10200166,-0.059501566,0.14437185
1.38,-0.10284668,-0.06064596,0.14477801
1.39,-0.10368424,-0.06180107,0.14517851
1.4,-0.104514174,-0.06296683,0.1455734
1.41,-0.105336316,-0.0641432,0.14596277
1.42,-0.106150515,-0.06533012,0.14634667
1.43,-0.10695659,-0.066527516,0.14672516
1.44,-0.10775441,-0.067735344,0.14709832
1.45,-0.108543806,-0.06895353,0.14746621
1.46,-0.10932461,-0.07018202,0.14782889
1.47,-0.110096686,-0.07142073,0.14818643
1.48,-0.11085987,-0.07266961,0.14853889
1.49,-0.11161402,-0.07392859,0.14888632
1.5,-0.11235898,-0.075197585,0.14922883
1.51,-0.1130946,-0.07647654,0.14956643
1.52,-0.113820724,-0.07776536,0.1498992
1.53,-0.114537224,-0.07906399,0.15022722
1.54,-0.11524394,-0.08037234,0.15055054
1.55,-0.115940735,-0.081690334,0.15086924
1.56,-0.11662747,-0.08301789,0.15118334
1.57,-0.117304,-0.08435494,0.15149294
1.58,-0.11797018,-0.08570137,0.15179808
1.59,-0.11862589,-0.08705711,0.15209885
1.6,-0.11927097,-0.08842209,0.15239528
1.61,-0.1199053,-0.0897962,0.15268743
1.62,-0.12052875,-0.091179356,0.15297538
1.63,-0.12114117,-0.09257146,0.15325919
1.64,-0.12174246,-0.09397244,0.1535389
1.65,-0.12233246,-0.09538218,0.15381458
1.66,-0.12291106,-0.09680058,0.15408629
1.67,-0.12347813,-0.09822757,0.1543541
1.68,-0.12403355,-0.09966303,0.15461804
1.69,-0.12457719,-0.10110686,0.1548782
1.7,-0.12510893,-0.10255896,0.15513462
1.71,-0.12562867,-0.10401924,0.15538736
1.72,-0.12613626,-0.105487585,0.15563646
1.73,-0.12663159,-0.10696389,0.15588202
1.74,-0.12711458,-0.10844804,0.15612406
1.75,-0.12758507,-0.10993994,0.15636264
1.76,-0.128043,-0.11143947,0.15659782
1.77,-0.1284882,-0.11294652,0.15682967
1.78,-0.12892061,-0.11446098,0.15705824
1.79,-0.12934011,-0.11598274,0.15728356
1.8,-0.12974659,-0.11751168,0.15750572
1.81,-0.13013996,-0.11904769,0.15772475
1.82,-0.13052009,-0.120590635,0.15794072
1.83,-0.13088693,-0.122140415,0.15815367
1.84,-0.13124032,-0.1236969,0.15836366
1.85,-0.13158022,-0.12525997,0.15857074
1.86,-0.13190651,-0.1268295,0.15877497
1.87,-0.13221909,-0.12840538,0.15897639
1.88,-0.1325179,-0.12998746,0.15917505
1.89,-0.13280281,-0.13157564,0.15937103
1.9,-0.13307378,-0.13316979,0.15956436
1.91,-0.13333067,-0.13476977,0.15975508
1.92,-0.13357344,-0.13637544,0.15994327
1.93,-0.133802,-0.13798669,0.16012895
1.94,-0.13401626,-0.13960339,0.16031219
1.95,-0.13421614,-0.14122538,0.16049305
1.96,-0.13440159,-0.14285256,0.16067153
1.97,-0.1345725,-0.14448479,0.16084774
1.98,-0.13472882,-0.14612192,0.16102168
1.99,-0.13487047,-0.1477638,0.16119343
2,-0.13499738,-0.14941034,0.16136302
2.01,-0.1351095,-0.15106136,0.16153051
2.02,-0.13520674,-0.15271673,0.16169594
2.03,-0.13528906,-0.15437631,0.16185936
2.04,-0.13535638,-0.15603997,0.16202082
2.05,-0.13540865,-0.15770756,0.16218035
2.06,-0.13544582,-0.15937893,0.16233802
2.07,-0.13546781,-0.16105394,0.16249385
2.08,-0.13547459,-0.16273245,0.1626479
2.09,-0.1354661,-0.16441432,0.16280021
2.1,-0.13544229,-0.16609938,0.16295083
2.11,-0.13540311,-0.1677875,0.16309981
2.12,-0.13534851,-0.16947855,0.16324717
2.13,-0.13527846,-0.17117235,0.16339298
2.14,-0.13519292,-0.17286876,0.16353725
2.15,-0.13509183,-0.17456764,0.16368006
2.16,-0.13497515,-0.17626882,0.16382143
2.17,-0.13484286,-0.17797217,0.16396141
2.18,-0.13469492,-0.17967752,0.16410004
2.19,-0.13453129,-0.18138473,0.16423735
2.2,-0.13435195,-0.18309364,0.1643734
2.21,-0.13415688,-0.18480408,0.16450822
2.22,-0.13394603,-0.18651594,0.16464186
2.23,-0.13371938,-0.18822902,0.16477434
2.24,-0.13347693,-0.1899432,0.16490571
2.25,-0.13321863,-0.19165829,0.16503601
2.26,-0.13294446,-0.19337414,0.16516529
2.27,-0.13265444,-0.19509062,0.16529356
2.28,-0.13234852,-0.19680755,0.16542089
2.29,-0.1320267,-0.19852477,0.1655473
2.3,-0.13168897,-0.20024213,0.16567282
2.31,-0.1313353,-0.20195946,0.1657975
2.32,-0.13096572,-0.20367661,0.16592139
2.33,-0.1305802,-0.20539343,0.16604449
2.34,-0.13017873,-0.20710975,0.16616687
2.35,-0.12976134,-0.2088254,0.16628854
2.36,-0.129328,-0.21054022,0.16640955
2.37,-0.12887871,-0.21225406,0.16652994
2.38,-0.12841351,-0.21396676,0.16664973
2.39,-0.12793237,-0.21567814,0.16676895
2.4,-0.12743533,-0.21738806,0.16688766
2.41,-0.12692237,-0.21909635,0.16700587
2.42,-0.12639351,-0.22080284,0.16712362
2.43,-0.12584879,-0.22250737,0.16724093
2.44,-0.12528819,-0.2242098,0.16735786
2.45,-0.124711744,-0.22590993,0.16747443
2.46,-0.12411948,-0.22760762,0.16759066
2.47,-0.12351141,-0.22930269,0.16770661
2.48,-0.12288756,-0.230995,0.16782227
2.49,-0.122247964,-0.23268437,0.1679377
2.5,-0.12159263,-0.23437065,0.16805293
2.51,-0.12092162,-0.23605366,0.16816798
2.52,-0.12023493,-0.23773324,0.16828288
2.53,-0.119532615,-0.23940924,0.16839765
2.54,-0.11881471,-0.24108148,0.16851234
2.55,-0.11808124,-0.2427498,0.16862698
2.56,-0.11733226,-0.24441405,0.16874158
2.57,-0.1165678,-0.24607405,0.16885619
2.58,-0.115787916,-0.24772964,0.16897081
2.59,-0.11499264,-0.24938068,0.16908549
2.6,-0.114182025,-0.25102696,0.16920024
2.61,-0.11335611,-0.25266835,0.1693151
2.62,-0.11251497,-0.2543047,0.16943009
2.63,-0.11165864,-0.25593582,0.16954523
2.64,-0.110787176,-0.25756156,0.16966057
2.65,-0.10990063,-0.25918177,0.16977611
2.66,-0.10899907,-0.26079625,0.16989188
2.67,-0.10808256,-0.2624049,0.17000791
2.68,-0.10715115,-0.26400748,0.17012423
2.69,-0.10620492,-0.26560387,0.17024086
2.7,-0.105243914,-0.26719394,0.17035782
2.71,-0.104268216,-0.2687775,0.17047513
2.72,-0.103277884,-0.27035436,0.17059281
2.73,-0.102273,-0.2719244,0.17071092
2.74,-0.101253636,-0.27348745,0.17082943
2.75,-0.10021986,-0.27504337,0.17094839
2.76,-0.09917176,-0.276592,0.17106782
