Time,x,y,z
0,0.0009998,0.0009998,0.0009998
0.01,0.0009698372,0.0010116664,0.002979315
0.02,0.0009201044,0.0010231173,0.004938995
0.03,0.00085091894,0.0010338454,0.006879144
0.04,0.00076230336,0.0010438287,0.008799783
0.05,0.00065462873,0.0010527127,0.01070126
0.06,0.0005278262,0.0010605633,0.012583507
0.07,0.00038236138,0.0010669411,0.014446952
0.08,0.00021819133,0.0010718864,0.016291555
0.09,3.5734643e-05,0.0010750114,0.018117687
0.1,-0.00016499983,0.0010763078,0.019925352
0.11,-0.00038376395,0.0010755532,0.021714764
0.12,-0.0006203064,0.0010725202,0.02348613
0.13,-0.00087449345,0.0010670878,0.025239566
0.14,-0.0011461397,0.0010590885,0.02697523
0.15,-0.0014349781,0.001048294,0.02869333
0.16,-0.0017407846,0.0010345078,0.030394046
0.17,-0.002063379,0.0010175662,0.032077532
0.18,-0.0024025529,0.0009972847,0.033743963
0.19,-0.002758094,0.0009735008,0.035393473
0.2,-0.0031297917,0.00094604644,0.037026215
0.21,-0.003517439,0.0009147312,0.03864237
0.22,-0.003920826,0.00087937614,0.040242095
0.23,-0.0043397513,0.00083983433,0.04182552
0.24,-0.004774015,0.0007959661,0.043392766
0.25,-0.005223403,0.0007475784,0.044944007
0.26,-0.005687711,0.00069450267,0.046479393
0.27,-0.006166733,0.00063659245,0.047999058
0.28,-0.0066602696,0.0005737233,0.0495031
0.29,-0.007168111,0.0005057107,0.050991688
0.3,-0.007690052,0.00043239532,0.052464966
0.31,-0.008225886,0.00035362685,0.053923063
0.32,-0.008775404,0.0002692804,0.05536609
0.33,-0.009338399,0.0001791935,0.056794196
0.34,-0.009914666,8.3220104e-05,0.0582075
0.35,-0.010503997,-1.8784212e-05,0.05960614
0.36,-0.011106185,-0.00012696216,0.060990233
0.37,-0.011721021,-0.00024145478,0.06235991
0.38,-0.012348297,-0.00036240142,0.06371529
0.39,-0.012987807,-0.00048993796,0.06505649
0.4,-0.013639357,-0.00062417757,0.066383615
0.41,-0.01430273,-0.00076526566,0.067696795
0.42,-0.014977721,-0.0009133318,0.06899614
0.43,-0.015664121,-0.0010685035,0.07028177
0.44,-0.016361725,-0.0012309065,0.071553774
0.45,-0.017070325,-0.0014006643,0.07281228
0.46,-0.017789714,-0.0015778986,0.07405739
0.47,-0.018519673,-0.0017627453,0.075289264
0.48,-0.019259995,-0.001955322,0.076507986
0.49,-0.020010473,-0.0021557421,0.07771365
0.5,-0.0207709,-0.0023641216,0.07890638
0.51,-0.021541065,-0.0025805756,0.080086276
0.52,-0.02232076,-0.0028052167,0.08125343
0.53,-0.023109773,-0.0030381558,0.08240796
0.54,-0.023907898,-0.0032795016,0.08354997
0.55,-0.024714928,-0.0035293594,0.084679574
0.56,-0.025530651,-0.0037878363,0.08579686
0.57,-0.026354855,-0.0040550358,0.08690195
0.58,-0.02718733,-0.00433106,0.08799492
0.59,-0.028027868,-0.0046160095,0.08907587
0.6,-0.028876256,-0.0049099815,0.09014491
