Time,x,y,z
0,0.001,0.001,0.001
0.01,0.00097002997,0.0010118718,0.002980109
0.02,0.00092028134,0.0010233282,0.0049405727
0.03,0.0008510684,0.0010340611,0.0068816883
0.04,0.0007624135,0.0010440489,0.0088034775
0.05,0.0006546844,0.0010529367,0.010706279
0.06,0.0005278128,0.0010607901,0.012590031
0.07,0.00038226048,0.0010671697,0.014455149
0.08,0.0002179848,0.0010721156,0.016301595
0.09,3.5400877e-05,0.0010752396,0.01812973
0.1,-0.00016548247,0.0010765333,0.019939564
0.11,-0.00038441902,0.0010757738,0.021731298
0.12,-0.0006211593,0.0010727337,0.023505146
0.13,-0.0008755707,0.0010672916,0.025261212
0.14,-0.0011474693,0.0010592798,0.026999656
0.15,-0.0014365898,0.0010484693,0.02872068
0.16,-0.0017427094,0.0010346636,0.030424463
0.17,-0.0020656497,0.0010176986,0.032111153
0.18,-0.0024052039,0.0009973892,0.03378092
0.19,-0.0027611607,0.00097357295,0.0354339
0.2,-0.0031333102,0.00094608084,0.03707024
0.21,-0.0035214473,0.0009147222,0.038690116
0.22,-0.003925364,0.000879318,0.04029369
0.23,-0.004344859,0.00083972054,0.04188108
0.24,-0.0047797333,0.0007957895,0.043452404
0.25,-0.0052297753,0.00074733177,0.04500784
0.26,-0.00569478,0.00069417816,0.046547532
0.27,-0.0061745443,0.0006361818,0.04807161
0.28,-0.006668868,0.00057321746,0.04958017
0.29,-0.0071775434,0.0005051003,0.051073384
0.3,-0.007700366,0.00043167052,0.05255138
0.31,-0.00823713,0.00035277728,0.0540143
0.32,-0.008787627,0.000268295,0.05546224
0.33,-0.009351652,0.00017806079,0.05689535
0.34,-0.0099289995,8.192798e-05,0.05831375
0.35,-0.010519463,-2.0248379e-05,0.05971757
0.36,-0.011122834,-0.00012861159,0.06110693
0.37,-0.011738908,-0.00024330328,0.062481955
0.38,-0.012367476,-0.0003644634,0.063842766
0.39,-0.013008333,-0.0004922284,0.06518947
0.4,-0.013661283,-0.0006267121,0.06652218
0.41,-0.014326113,-0.00076806056,0.067841016
0.42,-0.015002617,-0.00091640395,0.06914608
0.43,-0.015690587,-0.0010718706,0.0704375
0.44,-0.016389817,-0.0012345865,0.07171537
0.45,-0.017100101,-0.0014046761,0.0729798
0.46,-0.017821234,-0.0015822618,0.074230894
0.47,-0.018552994,-0.0017674798,0.0754688
0.48,-0.019295175,-0.0019604487,0.076693624
0.49,-0.020047572,-0.002161282,0.077905454
0.5,-0.020809978,-0.0023700972,0.07910439
0.51,-0.021582182,-0.0025870097,0.08029055
0.52,-0.022363976,-0.0028121325,0.081464015
0.53,-0.023155147,-0.0030455778,0.082624905
0.54,-0.023955492,-0.0032874544,0.083773315
0.55,-0.024764802,-0.0035378684,0.084909365
0.56,-0.025582867,-0.0037969276,0.08603315
0.57,-0.026409473,-0.0040647364,0.087144755
0.58,-0.027244413,-0.004341398,0.08824429
0.59,-0.028087476,-0.004627012,0.08933185
0.6,-0.028938452,-0.0049216785,0.09040753
0.61,-0.02979713,-0.005225494,0.09147142
0.62,-0.030663311,-0.005538545,0.092523634
0.63,-0.031536784,-0.00586093,0.09356426
0.64,-0.03241733,-0.006192739,0.09459338
0.65,-0.033304747,-0.0065340623,0.09561111
0.66,-0.03419882,-0.006884986,0.09661753
0.67,-0.035099342,-0.007245596,0.09761272
0.68,-0.036006104,-0.007615976,0.0985968
0.69,-0.036918897,-0.007996203,0.09956983
0.7,-0.037837524,-0.008386357,0.10053192
0.71,-0.03876176,-0.008786515,0.101483166
0.72,-0.039691404,-0.009196755,0.10242364
0.73,-0.040626246,-0.009617147,0.10335344
0.74,-0.041566074,-0.010047765,0.10427264
0.75,-0.042510685,-0.010488679,0.105181344
0.76,-0.043459866,-0.010939954,0.10607963
0.77,-0.04441342,-0.011401654,0.10696759
0.78,-0.045371134,-0.011873846,0.107845314
0.79,-0.0463328,-0.01235659,0.108712874
0.8,-0.047298208,-0.012849946,0.10957037
0.81,-0.048267152,-0.01335397,0.110417865
0.82,-0.049239427,-0.01386872,0.11125546
0.83,-0.050214827,-0.014394251,0.112083234
0.84,-0.051193148,-0.014930611,0.11290127
0.85,-0.052174184,-0.015477852,0.11370965
0.86,-0.053157732,-0.016036022,0.11450846
0.87,-0.05414358,-0.016605167,0.11529778
0.88,-0.055131532,-0.01718533,0.116077684
0.89,-0.05612138,-0.017776554,0.11684827
0.9,-0.057112914,-0.018378882,0.1176096
0.91,-0.05810594,-0.018992346,0.118361756
0.92,-0.059100255,-0.019616988,0.11910483
0.93,-0.06009565,-0.020252839,0.11983889
0.94,-0.061091926,-0.020899931,0.12056403
0.95,-0.06208888,-0.021558298,0.12128031
0.96,-0.063086316,-0.022227965,0.12198783
0.97,-0.06408402,-0.02290896,0.12268665
0.98,-0.06508181,-0.023601307,0.12337685
0.99,-0.06607948,-0.024305027,0.12405851
1,-0.06707684,-0.025020141,0.12473171
1.01,-0.068073675,-0.02574667,0.12539652
1.02,-0.06906979,-0.026484627,0.12605304
1.03,-0.070065,-0.027234029,0.12670131
1.04,-0.07105909,-0.027994888,0.12734142
1.05,-0.07205189,-0.028767215,0.12797347
1.06,-0.073043175,-0.02955102,0.12859751
1.07,-0.074032776,-0.030346306,0.12921362
1.08,-0.075020485,-0.031153081,0.12982188
1.09,-0.07600611,-0.031971347,0.13042237
1.1,-0.07698946,-0.032801103,0.13101515
1.11,-0.07797034,-0.03364235,0.1316003
1.12,-0.07894857,-0.034495085,0.13217792
1.13,-0.07992395,-0.035359304,0.13274804
1.14,-0.0808963,-0.036235016,0.13331074
1.15,-0.08186542,-0.037122194,0.13386609
1.16,-0.08283114,-0.038020834,0.13441418
1.17,-0.08379325,-0.038930923,0.13495508
1.18,-0.084751576,-0.039852444,0.13548887
1.19,-0.085705936,-0.040785383,0.13601561
1.2,-0.08665614,-0.041729722,0.13653536
1.21,-0.08760201,-0.04268544,0.13704821
1.22,-0.088543355,-0.04365252,0.13755424
1.23,-0.08948,-0.04463093,0.13805352
1.24,-0.09041176,-0.04562065,0.1385461
1.25,-0.09133846,-0.04662165,0.13903205
1.26,-0.09225992,-0.0476339,0.13951147
1.27,-0.09317596,-0.048657376,0.13998441
1.28,-0.09408641,-0.049692046,0.14045092
1.29,-0.09499109,-0.050737876,0.14091109
1.3,-0.09588982,-0.05179483,0.14136498
1.31,-0.09678244,-0.052862864,0.14181267
1.32,-0.09766877,-0.053941943,0.14225422
1.33,-0.098548636,-0.05503202,0.14268969
1.34,-0.099421866,-0.056133054,0.14311917
1.35,-0.1002883,-0.057244997,0.14354272
1.36,-0.10114777,-0.058367804,0.1439604
