Time,v1,v2,vRL
0,0,1,0
1e-06,0.0050188713,0.9994858,0.0003123712
2e-06,0.010075599,0.9989431,0.0006244787
3e-06,0.015170356,0.9983721,0.000936313
4e-06,0.020303275,0.9977727,0.0012478672
5e-06,0.025474528,0.99714506,0.0015591322
6e-06,0.030684277,0.9964892,0.0018700996
7e-06,0.035932694,0.9958053,0.0021807605
8e-06,0.041219935,0.9950933,0.0024911072
9e-06,0.046546154,0.99435323,0.0028011315
1e-05,0.05191156,0.9935853,0.0031108235
1.1e-05,0.057316314,0.99278945,0.0034201748
1.2e-05,0.06276061,0.99196583,0.0037291765
1.3e-05,0.06824461,0.99111444,0.0040378203
1.4e-05,0.07376852,0.9902354,0.004346097
1.5e-05,0.07933251,0.98932874,0.004653998
1.6e-05,0.084936775,0.9883946,0.0049615162
1.7e-05,0.0905815,0.987433,0.0052686417
1.8e-05,0.096266866,0.9864441,0.005575367
1.9e-05,0.10199307,0.98542786,0.005881683
2e-05,0.10776031,0.98438436,0.0061875815
2.1e-05,0.11356877,0.98331374,0.0064930543
2.2e-05,0.11941864,0.98221606,0.0067980927
2.3e-05,0.12531012,0.9810914,0.0071026883
2.4e-05,0.13124344,0.97993976,0.0074068336
2.5e-05,0.13721877,0.9787614,0.0077105197
2.6e-05,0.14323631,0.97755617,0.008013738
2.7e-05,0.14929628,0.9763243,0.0083164815
2.8e-05,0.1553989,0.97506595,0.008618741
2.9e-05,0.16154437,0.973781,0.008920509
3e-05,0.1677329,0.9724696,0.009221776
3.1e-05,0.1739647,0.9711319,0.009522537
3.2e-05,0.18024,0.969768,0.009822781
3.3e-05,0.186559,0.9683779,0.0101225
3.4e-05,0.19292195,0.96696174,0.010421689
3.5e-05,0.19932906,0.9655196,0.010720336
3.6e-05,0.20578055,0.96405154,0.011018436
3.7e-05,0.21227665,0.9625577,0.01131598
3.8e-05,0.21881759,0.9610381,0.01161296
3.9e-05,0.2254036,0.9594929,0.011909368
4e-05,0.23203495,0.95792216,0.0122051975
4.1e-05,0.23871182,0.956326,0.01250044
4.2e-05,0.2454345,0.9547045,0.012795087
4.3e-05,0.2522032,0.95305777,0.013089132
4.4e-05,0.25901815,0.95138586,0.013382565
4.5e-05,0.26587963,0.9496889,0.0136753805
4.6e-05,0.2727879,0.94796705,0.013967571
4.7e-05,0.2797432,0.9462203,0.014259128
4.8e-05,0.28674576,0.94444877,0.014550045
4.9e-05,0.29379585,0.9426526,0.014840313
5e-05,0.30089375,0.94083184,0.015129925
5.1e-05,0.30803972,0.9389867,0.015418874
5.2e-05,0.315234,0.93711716,0.015707152
5.3e-05,0.3224769,0.9352234,0.015994754
5.4e-05,0.32976866,0.9333055,0.016281668
5.5e-05,0.33710954,0.9313636,0.016567891
5.6e-05,0.34449983,0.9293977,0.016853413
5.7e-05,0.35193983,0.92740804,0.017138228
5.8e-05,0.35942978,0.92539465,0.01742233
5.9e-05,0.36697,0.9233576,0.017705709
6e-05,0.37456077,0.92129713,0.01798836
6.1e-05,0.38220236,0.91921324,0.018270275
6.2e-05,0.3898951,0.9171061,0.018551446
6.3e-05,0.39763927,0.9149758,0.01883187
6.4e-05,0.40543514,0.9128224,0.019111535
6.5e-05,0.41328305,0.91064614,0.019390436
6.6e-05,0.4211833,0.908447,0.019668568
6.7e-05,0.42913616,0.9062252,0.019945921
6.8e-05,0.43714198,0.9039808,0.02022249
6.9e-05,0.44520107,0.9017139,0.020498268
7e-05,0.45331374,0.8994247,0.020773247
7.1e-05,0.46148032,0.8971132,0.021047423
7.2e-05,0.4697011,0.89477956,0.021320786
7.3e-05,0.47797644,0.892424,0.021593332
7.4e-05,0.4863067,0.89004654,0.021865053
7.5e-05,0.49469212,0.8876473,0.022135943
7.6e-05,0.5031331,0.8852264,0.022405995
7.7e-05,0.51163,0.882784,0.022675205
7.8e-05,0.5201831,0.88032025,0.022943562
7.9e-05,0.5287928,0.8778352,0.023211062
8e-05,0.53745943,0.875329,0.0234777
8.1e-05,0.54618335,0.87280184,0.023743467
8.2e-05,0.5549649,0.87025374,0.02400836
8.3e-05,0.56380445,0.8676849,0.02427237
8.4e-05,0.57270235,0.86509544,0.02453549
8.5e-05,0.581659,0.86248547,0.024797717
8.6e-05,0.59067476,0.8598551,0.025059042
8.7e-05,0.59975004,0.85720456,0.025319463
8.8e-05,0.6088851,0.8545338,0.02557897
8.9e-05,0.61808044,0.8518431,0.025837557
9e-05,0.6273364,0.8491326,0.02609522
9.1e-05,0.63665336,0.84640235,0.026351955
9.2e-05,0.64603174,0.8436525,0.02660775
9.3e-05,0.655472,0.8408832,0.026862605
9.4e-05,0.66497433,0.8380946,0.027116511
9.5e-05,0.6745393,0.83528686,0.027369466
9.6e-05,0.6841674,0.83246,0.02762146
9.7e-05,0.69385886,0.8296143,0.027872488
9.8e-05,0.7036142,0.8267498,0.028122544
9.9e-05,0.71343374,0.82386667,0.028371627
0.0001,0.72331804,0.8209651,0.028619727
0.000101,0.7332675,0.81804514,0.02886684
0.000102,0.74328244,0.815107,0.029112963
0.000103,0.75336343,0.8121508,0.029358085
0.000104,0.7635109,0.8091766,0.029602205
0.000105,0.77372515,0.8061847,0.029845318
0.000106,0.78400683,0.80317515,0.030087417
0.000107,0.7943563,0.8001481,0.030328495
0.000108,0.804774,0.7971037,0.030568551
0.000109,0.8152604,0.7940421,0.030807579
0.00011,0.82581604,0.7909635,0.031045573
0.000111,0.8364413,0.7878679,0.031282526
0.000112,0.8471367,0.7847556,0.031518437
0.000113,0.8579027,0.78162664,0.031753298
0.000114,0.86873984,0.77848125,0.031987105
0.000115,0.87964857,0.7753195,0.032219853
0.000116,0.8906294,0.77214164,0.03245154
0.000117,0.90168285,0.7689478,0.032682158
0.000118,0.9128094,0.765738,0.032911707
0.000119,0.9240095,0.76251256,0.033140175
0.00012,0.9352837,0.7592715,0.033367563
0.000121,0.9466326,0.7560151,0.033593863
0.000122,0.9580567,0.7527434,0.033819072
0.000123,0.96955645,0.74945664,0.03404319
0.000124,0.98113245,0.74615496,0.034266204
0.000125,0.9927853,0.74283844,0.03448812
0.000126,1.0045154,0.7395073,0.034708925
0.000127,1.0163233,0.7361617,0.034928616
0.000128,1.0282098,0.7328018,0.035147194
0.000129,1.0401752,0.72942775,0.03536465
0.00013,1.0522201,0.72603965,0.03558098
0.000131,1.0643452,0.7226378,0.035796184
0.000132,1.076551,0.7192222,0.036010254
0.000133,1.0888381,0.71579313,0.03622319
0.000134,1.101207,0.71235067,0.036434986
0.000135,1.1136585,0.708895,0.036645636
0.000136,1.126193,0.70542634,0.03685514
0.000137,1.1388112,0.7019448,0.03706349
0.000138,1.1515137,0.69845057,0.037270688
0.000139,1.164301,0.6949438,0.03747673
0.00014,1.177174,0.69142467,0.037681606
0.000141,1.190133,0.6878933,0.037885316
0.000142,1.2031789,0.6843499,0.03808786
0.000143,1.216312,0.6807946,0.03828923
0.000144,1.2295334,0.6772276,0.038489424
0.000145,1.2428435,0.6736491,0.03868844
0.000146,1.256243,0.67005914,0.03888627
0.000147,1.2697325,0.6664581,0.039082922
0.000148,1.2833128,0.6628459,0.03927838
0.000149,1.2969843,0.6592229,0.03947265
0.00015,1.3107481,0.6555892,0.039665725
0.000151,1.3246045,0.651945,0.0398576
0.000152,1.3385545,0.6482904,0.04004828
0.000153,1.3525987,0.64462566,0.04023775
0.000154,1.3667376,0.64095086,0.04042602
0.000155,1.3809723,0.6372663,0.040613078
0.000156,1.3953031,0.63357204,0.04079893
0.000157,1.409731,0.62986827,0.04098356
0.000158,1.4242568,0.62615526,0.04116698
0.000159,1.438881,0.62243307,0.041349176
0.00016,1.4536046,0.6187019,0.041530155
0.000161,1.4684281,0.614962,0.04170991
0.000162,1.4833525,0.61121345,0.04188844
0.000163,1.4983784,0.6074565,0.042065736
0.000164,1.5135067,0.6036913,0.042241804
0.000165,1.528738,0.599918,0.042416643
0.000166,1.5440733,0.5961368,0.042590242
0.000167,1.5595133,0.5923479,0.042762607
0.000168,1.5750589,0.5885515,0.042933732
0.000169,1.5907108,0.5847478,0.043103617
0.00017,1.6064699,0.58093685,0.04327226
0.000171,1.6223369,0.57711893,0.043439656
0.000172,1.6383127,0.57329416,0.04360581
0.000173,1.6543982,0.56946284,0.043770712
0.000174,1.6705942,0.565625,0.043934368
0.000175,1.6869016,0.561781,0.044096768
0.000176,1.7033212,0.5579309,0.04425792
0.000177,1.719854,0.5540749,0.044417813
0.000178,1.7365009,0.55021316,0.044576455
0.000179,1.7532625,0.5463459,0.044733837
0.00018,1.77014,0.5424734,0.04488996
0.000181,1.7871342,0.5385957,0.045044824
0.000182,1.804246,0.534713,0.04519843
0.000183,1.8214763,0.53082556,0.04535077
0.000184,1.8388262,0.52693355,0.04550185
