Time,v1,v2,vRL
0,0,1,0
1e-06,0.0050188825,0.9994858,0.00031237115
2e-06,0.01007567,0.9989431,0.0006244771
3e-06,0.015170504,0.9983721,0.0009363101
4e-06,0.020303555,0.99777275,0.0012478614
5e-06,0.025474962,0.9971451,0.0015591234
6e-06,0.030684872,0.99648935,0.0018700886
7e-06,0.035933476,0.9958054,0.002180747
8e-06,0.04122093,0.9950934,0.0024910914
9e-06,0.04654739,0.9943534,0.0028011133
1e-05,0.051913016,0.9935854,0.0031108048
1.1e-05,0.05731803,0.9927896,0.0034201555
1.2e-05,0.062762596,0.99196595,0.003729157
1.3e-05,0.068246886,0.9911146,0.0040378007
1.4e-05,0.07377111,0.99023557,0.004346078
1.5e-05,0.079335436,0.9893289,0.0046539796
1.6e-05,0.08494005,0.9883948,0.0049614976
1.7e-05,0.09058517,0.98743325,0.005268624
1.8e-05,0.09627096,0.9864443,0.0055753505
1.9e-05,0.10199763,0.98542804,0.0058816676
2e-05,0.10776535,0.9843846,0.0061875675
2.1e-05,0.11357431,0.983314,0.0064930413
2.2e-05,0.119424745,0.9822163,0.0067980816
2.3e-05,0.12531684,0.9810917,0.0071026795
2.4e-05,0.1312508,0.9799401,0.007406826
2.5e-05,0.13722678,0.97876173,0.0077105137
2.6e-05,0.143245,0.9775566,0.008013734
2.7e-05,0.14930566,0.97632474,0.008316477
2.8e-05,0.15540907,0.97506636,0.0086187385
2.9e-05,0.16155536,0.97378147,0.008920508
3e-05,0.16774473,0.97247016,0.009221777
3.1e-05,0.1739774,0.9711325,0.009522539
3.2e-05,0.18025355,0.9697686,0.009822783
3.3e-05,0.18657346,0.9683785,0.010122504
3.4e-05,0.19293742,0.9669624,0.010421693
3.5e-05,0.19934556,0.96552026,0.010720342
3.6e-05,0.2057981,0.96405226,0.011018444
3.7e-05,0.21229526,0.96255845,0.011315989
3.8e-05,0.21883726,0.9610389,0.011612969
3.9e-05,0.22542444,0.95949376,0.01190938
4e-05,0.232057,0.95792305,0.0122052105
4.1e-05,0.23873514,0.95632696,0.012500454
4.2e-05,0.24545908,0.95470554,0.012795103
4.3e-05,0.25222906,0.9530588,0.013089148
4.4e-05,0.2590453,0.9513869,0.013382583
4.5e-05,0.26590818,0.94969004,0.0136754
4.6e-05,0.27281788,0.9479682,0.013967592
4.7e-05,0.27977464,0.9462215,0.01425915
4.8e-05,0.28677872,0.94444996,0.014550068
4.9e-05,0.2938304,0.94265383,0.014840338
5e-05,0.30092987,0.94083315,0.015129952
5.1e-05,0.30807745,0.93898803,0.015418902
5.2e-05,0.3152734,0.93711853,0.015707182
5.3e-05,0.32251796,0.9352248,0.015994783
5.4e-05,0.32981142,0.93330693,0.0162817
5.5e-05,0.33715406,0.93136495,0.016567923
5.6e-05,0.34454617,0.92939913,0.016853446
5.7e-05,0.35198805,0.92740947,0.017138263
5.8e-05,0.35947993,0.9253961,0.017422365
5.9e-05,0.36702213,0.9233591,0.017705746
6e-05,0.3746149,0.9212986,0.017988399
6.1e-05,0.38225856,0.9192147,0.018270314
6.2e-05,0.38995343,0.9171076,0.018551487
6.3e-05,0.39769974,0.9149773,0.01883191
6.4e-05,0.40549782,0.912824,0.019111577
6.5e-05,0.413348,0.9106477,0.01939048
6.6e-05,0.42125052,0.90844864,0.019668613
6.7e-05,0.42920575,0.9062268,0.019945968
6.8e-05,0.437214,0.90398246,0.020222537
6.9e-05,0.44527555,0.9017156,0.020498317
7e-05,0.45339075,0.89942634,0.020773297
7.1e-05,0.4615599,0.8971149,0.021047475
7.2e-05,0.46978334,0.8947813,0.021320838
7.3e-05,0.47806135,0.8924257,0.021593386
7.4e-05,0.4863943,0.8900483,0.021865109
7.5e-05,0.4947825,0.8876491,0.022135999
7.6e-05,0.5032263,0.8852283,0.022406053
7.7e-05,0.511726,0.8827859,0.02267526
7.8e-05,0.52028215,0.88032216,0.022943622
7.9e-05,0.52889484,0.8778372,0.023211123
8e-05,0.5375646,0.87533104,0.023477761
8.1e-05,0.54629165,0.87280387,0.02374353
8.2e-05,0.5550764,0.8702558,0.024008423
8.3e-05,0.56391925,0.86768705,0.024272434
8.4e-05,0.5728204,0.86509764,0.024535557
8.5e-05,0.5817805,0.8624877,0.024797784
8.6e-05,0.5907996,0.8598574,0.025059111
8.7e-05,0.5998783,0.8572069,0.025319532
8.8e-05,0.609017,0.85453624,0.025579039
8.9e-05,0.61821604,0.85184556,0.025837628
9e-05,0.62747574,0.8491351,0.026095293
9.1e-05,0.6367965,0.8464049,0.026352027
9.2e-05,0.6461787,0.8436551,0.026607826
9.3e-05,0.65562284,0.8408859,0.02686268
9.4e-05,0.66512924,0.83809733,0.02711659
9.5e-05,0.67469835,0.83528966,0.027369544
9.6e-05,0.68433046,0.8324629,0.027621537
9.7e-05,0.6940261,0.82961726,0.027872568
9.8e-05,0.7037857,0.82675284,0.028122626
9.9e-05,0.7136097,0.82386976,0.02837171
0.0001,0.72349846,0.8209683,0.028619813
0.000101,0.73345244,0.81804836,0.028866928
0.000102,0.74347204,0.8151103,0.02911305
0.000103,0.7535577,0.8121542,0.029358175
0.000104,0.7637099,0.8091801,0.029602297
0.000105,0.77392906,0.8061883,0.029845411
0.000106,0.78421557,0.8031788,0.03008751
0.000107,0.79456997,0.8001518,0.030328592
0.000108,0.8049928,0.7971076,0.030568648
0.000109,0.8154844,0.79404604,0.030807678
0.00011,0.8260453,0.79096746,0.031045672
0.000111,0.83667594,0.787872,0.03128263
0.000112,0.8473768,0.7847598,0.03151854
0.000113,0.8581484,0.781631,0.031753402
0.000114,0.86899114,0.77848566,0.031987213
0.000115,0.8799056,0.77532405,0.032219965
0.000116,0.89089215,0.7721463,0.032451652
0.000117,0.90195143,0.76895255,0.032682274
0.000118,0.9130839,0.7657429,0.03291182
0.000119,0.9242901,0.7625176,0.03314029
0.00012,0.9355706,0.7592766,0.03336768
0.000121,0.94692576,0.7560203,0.033593982
0.000122,0.95835626,0.7527488,0.033819195
0.000123,0.9698625,0.7494621,0.034043316
0.000124,0.98144513,0.74616057,0.034266334
0.000125,0.9931046,0.7428442,0.034488246
0.000126,1.0048414,0.7395132,0.034709055
0.000127,1.0166563,0.7361678,0.03492875
0.000128,1.0285496,0.732808,0.035147328
0.000129,1.0405221,0.7294341,0.035364784
0.00013,1.0525743,0.72604614,0.03558112
0.000131,1.0647067,0.72264445,0.035796326
0.000132,1.0769198,0.71922904,0.0360104
0.000133,1.0892144,0.7158001,0.036223337
0.000134,1.101591,0.7123578,0.036435135
0.000135,1.1140501,0.70890236,0.03664579
0.000136,1.1265925,0.70543385,0.036855295
0.000137,1.1392186,0.7019525,0.037063647
0.000138,1.151929,0.69845843,0.037270848
0.000139,1.1647246,0.69495183,0.03747689
0.00014,1.1776057,0.6914329,0.03768177
0.000141,1.1905732,0.68790174,0.037885483
0.000142,1.2036276,0.68435854,0.038088027
0.000143,1.2167696,0.6808034,0.0382894
0.000144,1.2299997,0.6772367,0.0384896
0.000145,1.2433187,0.6736583,0.038688615
0.000146,1.2567271,0.6700686,0.038886454
0.000147,1.2702258,0.6664678,0.039083105
0.000148,1.2838153,0.66285586,0.039278567
0.000149,1.2974963,0.6592331,0.03947284
0.00015,1.3112696,0.6555996,0.039665915
0.000151,1.3251358,0.6519556,0.039857797
0.000152,1.3390956,0.64830124,0.040048476
0.000153,1.3531497,0.64463675,0.040237952
0.000154,1.3672987,0.64096224,0.040426224
0.000155,1.3815436,0.6372779,0.040613286
0.000156,1.3958849,0.6335839,0.04079914
0.000157,1.4103234,0.6298804,0.040983777
0.000158,1.4248598,0.62616765,0.0411672
0.000159,1.4394948,0.62244576,0.0413494
0.00016,1.4542294,0.6187149,0.041530382
0.000161,1.469064,0.6149753,0.041710142
0.000162,1.4839996,0.61122704,0.041888673
0.000163,1.4990369,0.6074704,0.042065974
0.000164,1.5141767,0.60370547,0.04224205
0.000165,1.5294198,0.5999325,0.04241689
0.000166,1.544767,0.59615165,0.042590495
0.000167,1.560219,0.59236306,0.042762864
0.000168,1.5757768,0.58856696,0.042933997
0.000169,1.5914412,0.5847635,0.043103885
0.00017,1.6072127,0.58095294,0.043272533
0.000171,1.6230924,0.5771354,0.043439932
0.000172,1.6390811,0.573311,0.04360609
0.000173,1.6551797,0.56947994,0.043771
0.000174,1.671389,0.56564254,0.04393466
0.000175,1.6877098,0.5617989,0.044097066
0.000176,1.704143,0.5579491,0.044258222
0.000177,1.7206895,0.5540935,0.044418123
0.000178,1.7373503,0.5502321,0.044576768
0.000179,1.7541261,0.54636526,0.044734158
0.00018,1.7710179,0.5424931,0.044890285
0.000181,1.7880266,0.5386158,0.045045156
0.000182,1.8051531,0.5347336,0.04519877
0.000183,1.8223984,0.53084654,0.045351118
0.000184,1.8397633,0.52695495,0.0455022
0.000185,1.8572488,0.523059,0.045652024
0.000186,1.8748559,0.5191588,0.04580058
0.000187,1.8925855,0.5152546,0.045947872
0.000188,1.9104387,0.51134664,0.046093896
0.000189,1.9284163,0.507435,0.046238653
0.00019,1.9465193,0.50351995,0.046382144
0.000191,1.9647487,0.49960163,0.046524365
0.000192,1.9831058,0.49568027,0.04666532
0.000193,2.0015912,0.49175608,0.046804998
0.000194,2.0202062,0.48782918,0.04694341
0.000195,2.0389516,0.48389983,0.047080554
0.000196,2.0578287,0.4799682,0.047216423
0.000197,2.0768385,0.47603446,0.04735102
0.000198,2.0959818,0.47209886,0.04748435
0.000199,2.11526,0.46816155,0.047616407
0.0002,2.1346738,0.46422273,0.04774719
0.000201,2.1542249,0.46028262,0.047876704
0.000202,2.1739137,0.45634142,0.048004944
0.000203,2.1937418,0.45239928,0.048131913
0.000204,2.21371,0.44845644,0.04825761
0.000205,2.2338197,0.44451308,0.04838204
0.000206,2.254072,0.4405694,0.048505194
0.000207,2.274468,0.4366256,0.04862708
0.000208,2.2950087,0.43268192,0.048747692
0.000209,2.3156953,0.42873847,0.04886704
0.00021,2.3365293,0.4247955,0.048985112
0.000211,2.3575115,0.42085326,0.04910192
0.000212,2.3786433,0.41691187,0.04921746
0.000213,2.399926,0.41297156,0.04933173
0.000214,2.4213605,0.40903255,0.04944473
0.000215,2.4429483,0.405095,0.04955647
0.000216,2.4646907,0.40115917,0.049666945
0.000217,2.4865887,0.39722523,0.049776156
0.000218,2.5086439,0.39329338,0.0498841
0.000219,2.5308573,0.38936383,0.049990784
0.00022,2.5532303,0.38543677,0.05009621
0.000221,2.5757642,0.38151246,0.050200373
0.000222,2.5984602,0.37759104,0.05030328
0.000223,2.6213198,0.37367275,0.05040493
0.000224,2.644344,0.36975777,0.05050532
0.000225,2.6675348,0.36584634,0.050604463
0.000226,2.690893,0.36193863,0.05070235
0.000227,2.7144198,0.35803488,0.050798986
0.000228,2.7381175,0.3541353,0.050894372
0.000229,2.7619865,0.35024008,0.05098851
0.00023,2.7860286,0.34634942,0.051081404
0.000231,2.8102455,0.34246355,0.051173054
0.000232,2.8346384,0.33858266,0.051263463
0.000233,2.8592083,0.334707,0.051352628
0.000234,2.8839574,0.3308367,0.05144056
0.000235,2.908887,0.32697207,0.05152725
0.000236,2.933998,0.32311326,0.051612712
0.000237,2.9592927,0.31926048,0.05169694
0.000238,2.9847722,0.31541398,0.05177994
0.000239,3.010438,0.31157392,0.051861715
0.00024,3.0362916,0.30774057,0.051942263
0.000241,3.0623348,0.3039141,0.05202159
0.000242,3.0885687,0.30009475,0.052099694
0.000243,3.1149955,0.2962827,0.052176587
0.000244,3.1416166,0.2924782,0.052252263
0.000245,3.1684332,0.28868148,0.052326728
0.000246,3.1954474,0.2848927,0.052399985
0.000247,3.2226605,0.2811121,0.052472036
0.000248,3.2500746,0.2773399,0.052542884
0.000249,3.277691,0.27357635,0.052612536
0.00025,3.305511,0.2698216,0.052680988
0.000251,3.333537,0.2660759,0.052748248
0.000252,3.3617706,0.2623395,0.05281432
0.000253,3.3902133,0.25861254,0.052879203
0.000254,3.4188666,0.25489533,0.052942906
0.000255,3.4477327,0.251188,0.053005427
0.000256,3.4768133,0.24749087,0.05306677
0.000257,3.5061102,0.24380407,0.053126942
0.000258,3.5356247,0.24012786,0.053185944
0.0002581352,3.5396316,0.2396317,0.05319383
0.0002581352,3.5396316,0.2396317,0.05319383
0.000259,3.5640502,0.23659281,0.053243794
0.00026,3.5894227,0.2333924,0.053300574
0.000261,3.612038,0.2304934,0.053356383
0.000262,3.6321983,0.22786218,0.053411312
0.000263,3.6501703,0.22546917,0.05346544
0.000264,3.666189,0.22328825,0.05351884
0.000265,3.6804643,0.2212961,0.053571567
0.000266,3.693184,0.21947184,0.053623684
0.000267,3.704515,0.21779694,0.053675238
0.000268,3.7146058,0.21625489,0.053726275
0.000269,3.7235882,0.214831,0.05377683
0.00027,3.73158,0.2135122,0.053826943
0.000271,3.7386858,0.21228684,0.053876642
0.000272,3.7449996,0.21114449,0.053925958
0.000273,3.7506044,0.21007589,0.05397491
0.000274,3.7555752,0.2090727,0.054023527
0.000275,3.759978,0.20812756,0.054071825
0.000276,3.7638721,0.20723386,0.054119818
0.000277,3.7673109,0.20638572,0.054167524
0.000278,3.770341,0.20557788,0.054214958
0.000279,3.7730048,0.20480563,0.05426213
0.00028,3.7753403,0.20406477,0.05430905
0.000281,3.7773817,0.20335151,0.054355733
0.000282,3.7791586,0.20266251,0.054402176
0.000283,3.7806988,0.20199473,0.054448396
0.000284,3.782026,0.20134549,0.054494396
0.000285,3.783162,0.20071237,0.05454018
0.000286,3.7841265,0.20009322,0.054585755
0.000287,3.7849364,0.19948614,0.05463112
0.000288,3.7856076,0.19888936,0.05467629
0.000289,3.7861538,0.19830136,0.05472126
0.00029,3.7865877,0.19772074,0.05476603
0.000291,3.7869205,0.19714627,0.054810606
0.000292,3.787162,0.19657685,0.05485499
0.000293,3.7873213,0.19601148,0.054899182
0.000294,3.7874064,0.19544928,0.054943185
0.000295,3.7874246,0.19488946,0.054987
0.000296,3.787382,0.19433132,0.05503062
0.000297,3.7872844,0.19377424,0.055074062
0.000298,3.787137,0.19321764,0.05511731
0.000299,3.7869446,0.192661,0.055160373
0.0003,3.7867112,0.1921039,0.055203248
0.000301,3.786441,0.19154587,0.055245936
0.000302,3.7861373,0.19098656,0.055288434
0.000303,3.7858026,0.1904257,0.055330746
0.000304,3.78544,0.18986295,0.055372868
0.000305,3.7850516,0.18929805,0.055414803
0.000306,3.7846398,0.1887308,0.055456545
0.000307,3.7842066,0.188161,0.055498097
0.000308,3.7837534,0.18758844,0.05553946
0.000309,3.783282,0.187013,0.055580627
0.00031,3.7827935,0.18643452,0.055621605
0.000311,3.7822895,0.18585287,0.055662386
0.000312,3.7817707,0.18526794,0.055702973
0.000313,3.7812383,0.18467966,0.055743363
0.000314,3.7806933,0.18408789,0.05578356
0.000315,3.7801363,0.18349259,0.055823553
0.000316,3.7795684,0.1828937,0.05586335
0.000317,3.7789898,0.18229112,0.055902947
0.000318,3.7784014,0.18168482,0.05594234
0.000319,3.7778034,0.18107477,0.055981535
0.00032,3.7771966,0.1804609,0.056020524
0.000321,3.7765815,0.1798432,0.056059312
0.000322,3.7759583,0.17922163,0.05609789
0.000323,3.7753272,0.17859617,0.05613626
0.000324,3.7746887,0.1779668,0.056174427
0.000325,3.7740428,0.1773335,0.05621238
0.000326,3.7733903,0.17669627,0.05625013
0.000327,3.772731,0.17605509,0.05628766
0.000328,3.7720652,0.17540994,0.05632498
0.000329,3.771393,0.17476085,0.05636209
0.00033,3.7707145,0.17410779,0.05639898
0.000331,3.7700303,0.17345077,0.056435656
0.000332,3.76934,0.17278978,0.056472115
0.000333,3.7686439,0.17212483,0.056508355
0.000334,3.7679422,0.17145593,0.056544375
0.000335,3.767235,0.17078307,0.056580175
0.000336,3.7665222,0.17010626,0.05661575
0.000337,3.7658043,0.1694255,0.056651104
0.000338,3.7650812,0.1687408,0.056686234
0.000339,3.764353,0.16805214,0.056721136
0.00034,3.76362,0.16735955,0.056755815
0.000341,3.7628815,0.16666307,0.056790262
0.000342,3.7621384,0.16596268,0.056824483
0.000343,3.7613902,0.1652584,0.056858476
0.000344,3.760637,0.16455023,0.056892235
0.000345,3.7598794,0.1638382,0.05692576
0.000346,3.759117,0.16312228,0.056959055
0.000347,3.7583497,0.16240254,0.056992114
0.000348,3.7575777,0.16167897,0.057024933
0.000349,3.7568011,0.16095158,0.057057522
0.00035,3.7560198,0.16022041,0.05708987
0.000351,3.755234,0.15948544,0.057121977
0.000352,3.7544436,0.1587467,0.057153843
0.000353,3.7536485,0.15800421,0.05718547
0.000354,3.752849,0.15725799,0.057216857
0.000355,3.7520452,0.15650804,0.057247996
0.000356,3.7512364,0.15575439,0.057278894
0.000357,3.7504234,0.15499707,0.057309546
0.000358,3.7496061,0.15423605,0.057339948
0.000359,3.7487843,0.15347138,0.057370104
0.00036,3.747958,0.15270308,0.05740001
0.000361,3.7471273,0.15193117,0.057429668
0.000362,3.7462924,0.15115564,0.057459075
0.000363,3.7454531,0.15037653,0.05748823
0.000364,3.7446096,0.14959383,0.05751713
0.000365,3.7437618,0.1488076,0.057545777
0.000366,3.7429097,0.14801782,0.057574168
0.000367,3.7420533,0.14722453,0.0576023
0.000368,3.7411928,0.14642774,0.05763018
