Time,v1,v2,vRL
0,0,1,0
1e-06,0.0060236296,0.99938595,0.00031235564
2e-06,0.0120927375,0.998744,0.0006244159
3e-06,0.018207522,0.9980743,0.00093617325
4e-06,0.024368204,0.9973768,0.0012476194
5e-06,0.030575,0.9966516,0.0015587464
6e-06,0.036828138,0.99589884,0.0018695459
7e-06,0.043127835,0.9951185,0.0021800098
8e-06,0.04947436,0.9943107,0.002490129
9e-06,0.055867944,0.99347544,0.002799895
1e-05,0.062308837,0.9926129,0.0031092989
1.1e-05,0.06879729,0.9917231,0.0034183322
1.2e-05,0.07533354,0.99080616,0.0037269867
1.3e-05,0.08191786,0.98986214,0.004035254
1.4e-05,0.088550486,0.98889107,0.0043431264
1.5e-05,0.09523167,0.98789304,0.0046505947
1.6e-05,0.10196167,0.98686814,0.004957651
1.7e-05,0.108740754,0.9858165,0.005264287
1.8e-05,0.11556918,0.98473805,0.005570494
1.9e-05,0.12244719,0.98363304,0.0058762645
2e-05,0.12937507,0.9825015,0.00618159
2.1e-05,0.1363531,0.9813435,0.0064864624
2.2e-05,0.14338154,0.9801591,0.0067908736
2.3e-05,0.15046065,0.9789484,0.0070948154
2.4e-05,0.15759072,0.97771156,0.00739828
2.5e-05,0.16477203,0.97644854,0.007701259
2.6e-05,0.17200486,0.9751595,0.008003745
2.7e-05,0.17928949,0.9738445,0.008305729
2.8e-05,0.18662624,0.9725037,0.008607205
2.9e-05,0.19401535,0.9711371,0.008908163
3e-05,0.20145714,0.96974486,0.009208595
3.1e-05,0.20895192,0.968327,0.009508496
3.2e-05,0.21649997,0.96688366,0.009807855
3.3e-05,0.22410157,0.96541494,0.010106666
3.4e-05,0.23175707,0.96392095,0.010404921
3.5e-05,0.23946676,0.9624017,0.010702612
3.6e-05,0.24723093,0.9608574,0.010999731
3.7e-05,0.25504994,0.95928806,0.01129627
3.8e-05,0.26292405,0.9576938,0.011592223
3.9e-05,0.2708536,0.9560747,0.011887582
4e-05,0.27883893,0.95443094,0.012182338
4.1e-05,0.28688037,0.95276254,0.012476485
4.2e-05,0.29497823,0.95106965,0.012770015
4.3e-05,0.30313286,0.9493524,0.0130629195
4.4e-05,0.31134456,0.9476108,0.013355194
4.5e-05,0.31961372,0.945845,0.013646827
4.6e-05,0.32794064,0.9440551,0.013937815
4.7e-05,0.33632568,0.94224125,0.014228148
4.8e-05,0.3447692,0.94040346,0.01451782
4.9e-05,0.35327154,0.93854195,0.014806825
5e-05,0.36183307,0.9366568,0.015095153
