Time,x,y,z
0,2,-0.3,-0.8333333
2e-06,1.9960874,-0.32265326,-0.808225
4e-06,1.9918929,-0.34487304,-0.78316754
6e-06,1.9874219,-0.36666197,-0.7581645
8e-06,1.9826795,-0.38802275,-0.7332193
1e-05,1.9776715,-0.4089584,-0.7083354
1.2e-05,1.9724029,-0.429472,-0.683516
1.4e-05,1.9668794,-0.4495668,-0.6587645
1.6e-05,1.9611058,-0.46924624,-0.6340839
1.8e-05,1.9550875,-0.4885138,-0.60947746
2e-05,1.9488298,-0.5073732,-0.5849482
2.2e-05,1.9423375,-0.5258282,-0.56049895
2.4e-05,1.9356159,-0.54388255,-0.5361328
2.6e-05,1.9286699,-0.56154025,-0.51185256
2.8e-05,1.9215045,-0.5788053,-0.48766097
3e-05,1.9141246,-0.5956818,-0.46356076
3.2e-05,1.906535,-0.6121738,-0.43955463
3.4e-05,1.8987405,-0.6282855,-0.41564518
3.6e-05,1.890746,-0.64402115,-0.39183494
3.8e-05,1.8825561,-0.6593849,-0.3681264
4e-05,1.8741754,-0.6743811,-0.34452194
4.2e-05,1.8656086,-0.68901396,-0.321024
4.4e-05,1.8568602,-0.7032877,-0.29763487
4.6e-05,1.8479345,-0.7172068,-0.27435675
4.8e-05,1.8388362,-0.7307753,-0.2511919
5e-05,1.8295696,-0.7439977,-0.22814247
5.2e-05,1.8201389,-0.7568781,-0.2052105
5.4e-05,1.8105485,-0.7694208,-0.18239807
5.6e-05,1.8008027,-0.78163004,-0.15970711
5.8e-05,1.7909055,-0.7935101,-0.13713959
6e-05,1.7808609,-0.805065,-0.114697374
6.2e-05,1.7706733,-0.81629896,-0.09238228
6.4e-05,1.7603465,-0.82721615,-0.07019609
6.6e-05,1.7498845,-0.83782065,-0.048140537
6.8e-05,1.7392911,-0.8481164,-0.026217273
7e-05,1.7285702,-0.85810745,-0.004427932
7.2e-05,1.7177258,-0.8677978,0.017225906
7.4e-05,1.7067614,-0.87719136,0.038742717
7.6e-05,1.6956807,-0.8862919,0.06012101
7.8e-05,1.6844877,-0.89510345,0.08135935
8e-05,1.6731856,-0.9036296,0.102456346
8.2e-05,1.6617782,-0.9118742,0.12341065
8.4e-05,1.6502689,-0.9198409,0.14422096
8.6e-05,1.6386613,-0.92753327,0.16488603
8.8e-05,1.6269586,-0.93495506,0.18540463
9e-05,1.6151644,-0.94210964,0.20577557
9.2e-05,1.6032819,-0.9490006,0.22599776
9.4e-05,1.5913144,-0.9556314,0.2460701
9.6e-05,1.5792654,-0.9620054,0.2659915
9.8e-05,1.5671377,-0.96812594,0.28576103
0.0001,1.5549347,-0.9739964,0.30537766
0.000102,1.5426595,-0.9796199,0.32484052
0.000104,1.5303152,-0.98499984,0.34414867
0.000106,1.5179048,-0.9901392,0.36330125
0.000108,1.5054313,-0.9950412,0.3822975
0.00011,1.4928976,-0.99970895,0.4011366
0.000112,1.4803069,-1.0041454,0.41981786
0.000114,1.4676616,-1.0083536,0.43834054
0.000116,1.4549651,-1.0123366,0.45670402
0.000118,1.4422199,-1.0160972,0.4749076
0.00012,1.4294287,-1.0196382,0.49295077
0.000122,1.4165944,-1.0229627,0.5108329
0.000124,1.4037197,-1.0260732,0.5285535
0.000126,1.3908073,-1.0289727,0.54611206
0.000128,1.3778597,-1.031664,0.56350815
0.00013,1.3648796,-1.0341496,0.58074135
0.000132,1.3518695,-1.0364324,0.5978112
0.000134,1.338832,-1.0385149,0.6147174
0.000136,1.3257695,-1.0403997,0.6314596
0.000138,1.3126848,-1.0420896,0.64803755
0.00014,1.2995799,-1.043587,0.6644509
0.000142,1.2864573,-1.0448946,0.68069947
0.000144,1.2733196,-1.0460148,0.696783
0.000146,1.2601689,-1.0469501,0.71270144
0.000148,1.2470076,-1.0477033,0.7284545
0.00015,1.233838,-1.0482765,0.7440421
0.000152,1.2206622,-1.0486724,0.7594642
0.000154,1.2074827,-1.0488935,0.77472067
0.000156,1.1943014,-1.0489421,0.78981155
0.000158,1.1811206,-1.0488206,0.80473673
0.00016,1.1679424,-1.0485317,0.81949633
0.000162,1.1547688,-1.0480773,0.83409035
0.000164,1.1416019,-1.0474604,0.8485189
0.000166,1.128444,-1.0466831,0.862782
0.000168,1.1152966,-1.0457478,0.8768798
0.00017,1.102162,-1.044657,0.8908125
0.000172,1.0890422,-1.0434129,0.90458024
0.000174,1.0759388,-1.042018,0.9181832
0.000176,1.062854,-1.0404749,0.9316216
0.000178,1.0497894,-1.0387857,0.9448957
0.00018,1.0367471,-1.036953,0.9580058
0.000182,1.0237286,-1.034979,0.9709521
0.000184,1.0107358,-1.0328662,0.983735
0.000186,0.99777037,-1.0306171,0.99635476
0.000188,0.9848341,-1.0282341,1.0088118
0.00019,0.9719286,-1.0257195,1.0211065
0.000192,0.9590555,-1.0230759,1.0332392
0.000194,0.9462164,-1.0203058,1.0452104
0.000196,0.9334129,-1.0174112,1.0570203
0.000198,0.92064655,-1.0143951,1.0686697
0.0002,0.9079189,-1.0112598,1.0801588
0.000202,0.8952313,-1.0080078,1.0914884
0.000204,0.88258535,-1.0046414,1.1026586
0.000206,0.8699824,-1.0011634,1.1136703
0.000208,0.85742384,-0.99757624,1.1245239
0.00021,0.84491104,-0.9938824,1.1352199
0.000212,0.83244526,-0.9900845,1.145759
0.000214,0.8200279,-0.98618513,1.1561418
0.000216,0.80766016,-0.9821869,1.1663688
0.000218,0.7953432,-0.9780924,1.1764407
0.00022,0.7830784,-0.97390413,1.1863582
0.000222,0.77086675,-0.96962494,1.1961218
0.000224,0.75870943,-0.96525735,1.2057323
0.000226,0.74660754,-0.9608041,1.2151905
0.000228,0.73456216,-0.95626783,1.224497
0.00023,0.72257423,-0.95165133,1.2336524
0.000232,0.71064484,-0.9469573,1.2426574
0.000234,0.69877493,-0.9421884,1.251513
0.000236,0.68696535,-0.9373475,1.2602198
0.000238,0.6752171,-0.9324373,1.2687786
0.00024,0.66353095,-0.9274606,1.2771901
0.000242,0.65190774,-0.92242026,1.2854552
0.000244,0.64034826,-0.91731906,1.2935746
0.000246,0.62885326,-0.91215986,1.3015492
0.000248,0.6174234,-0.90694547,1.3093797
0.00025,0.60605943,-0.9016788,1.317067
0.000252,0.59476197,-0.8963627,1.3246119
0.000254,0.58353156,-0.89100015,1.3320153
0.000256,0.57236886,-0.885594,1.339278
0.000258,0.56127435,-0.8801471,1.3464007
0.00026,0.5502485,-0.87466246,1.3533846
0.000262,0.53929186,-0.86914307,1.3602303
0.000264,0.5284047,-0.86359173,1.3669387
0.000266,0.51758754,-0.85801154,1.3735108
0.000268,0.5068407,-0.8524054,1.3799474
0.00027,0.4961644,-0.8467763,1.3862494
0.000272,0.485559,-0.8411273,1.3924177
0.000274,0.4750247,-0.8354612,1.3984531
0.000276,0.46456167,-0.8297812,1.4043566
0.000278,0.4541701,-0.8240902,1.4101291
0.00028,0.4438501,-0.8183912,1.4157715
0.000282,0.43360174,-0.8126872,1.4212846
0.000284,0.42342508,-0.80698127,1.4266694
0.000286,0.41332012,-0.8012763,1.4319266
0.000288,0.4032868,-0.79557544,1.4370575
0.00029,0.39332512,-0.7898815,1.4420626
0.000292,0.3834349,-0.7841977,1.4469432
0.000294,0.373616,-0.77852684,1.4516997
0.000296,0.36386833,-0.772872,1.4563334
0.000298,0.35419157,-0.7672361,1.460845
0.0003,0.34458548,-0.76162213,1.4652355
0.000302,0.33504978,-0.7560331,1.4695058
0.000304,0.32558414,-0.7504719,1.4736565
0.000306,0.31618822,-0.7449415,1.4776889
0.000308,0.30686158,-0.73944473,1.4816035
0.00031,0.2976038,-0.7339846,1.4854014
0.000312,0.28841436,-0.7285639,1.4890834
0.000314,0.2792928,-0.7231856,1.4926504
0.000316,0.27023852,-0.71785253,1.496103
0.000318,0.26125097,-0.7125675,1.4994425
0.00032,0.25232956,-0.7073333,1.5026693
0.000322,0.24347354,-0.7021528,1.5057845
0.000324,0.2346823,-0.69702864,1.5087887
0.000326,0.22595507,-0.6919637,1.511683
0.000328,0.2172911,-0.6869605,1.5144678
0.00033,0.20868962,-0.6820219,1.5171443
0.000332,0.20014977,-0.6771505,1.519713
0.000334,0.1916707,-0.67234886,1.5221748
0.000336,0.18325152,-0.66761965,1.5245305
0.000338,0.17489128,-0.6629654,1.5267807
0.00034,0.16658907,-0.6583886,1.5289263
0.000342,0.15834387,-0.6538918,1.5309678
0.000344,0.15015465,-0.64947736,1.5329062
0.000346,0.14202039,-0.64514774,1.5347419
0.000348,0.13393997,-0.64090526,1.5364757
0.00035,0.12591231,-0.6367523,1.5381083
0.000352,0.11793626,-0.6326911,1.5396404
0.000354,0.11001066,-0.6287239,1.5410726
0.000356,0.10213432,-0.62485296,1.5424055
0.000358,0.09430599,-0.6210804,1.5436398
0.00036,0.08652444,-0.6174082,1.5447758
0.000362,0.07878841,-0.61383855,1.5458145
0.000364,0.07109657,-0.61037344,1.5467563
0.000366,0.06344762,-0.6070147,1.5476016
0.000368,0.055840183,-0.6037644,1.548351
0.00037,0.048272904,-0.6006242,1.5490052
0.000372,0.04074439,-0.59759605,1.5495645
0.000374,0.03325322,-0.5946816,1.5500294
0.000376,0.025797946,-0.5918825,1.5504004
0.000378,0.018377114,-0.58920044,1.5506779
0.00038,0.0109892385,-0.5866369,1.5508623
0.000382,0.0036328316,-0.58419347,1.5509542
0.000384,-0.0036936323,-0.58187157,1.5509537
0.000386,-0.01099169,-0.5796725,1.5508615
0.000388,-0.018262895,-0.5775976,1.5506777
0.00039,-0.025508815,-0.57564825,1.5504026
0.000392,-0.03273103,-0.5738255,1.5500367
0.000394,-0.039931137,-0.57213044,1.5495801
0.000396,-0.047110755,-0.5705642,1.5490332
0.000398,-0.054271508,-0.5691278,1.5483962
0.0004,-0.061415035,-0.56782216,1.5476693
0.000402,-0.06854298,-0.566648,1.5468527
0.000404,-0.075656995,-0.5656063,1.5459467
0.000406,-0.082758754,-0.5646976,1.5449513
0.000408,-0.08984994,-0.56392264,1.5438668
0.00041,-0.09693223,-0.56328195,1.5426931
0.000412,-0.10400732,-0.562776,1.5414306
0.000414,-0.11107689,-0.56240535,1.5400792
0.000416,-0.11814266,-0.56217027,1.538639
0.000418,-0.12520632,-0.56207097,1.53711
0.00042,-0.1322696,-0.5621077,1.5354922
0.000422,-0.1393342,-0.5622806,1.5337857
0.000424,-0.14640182,-0.56258976,1.5319904
0.000426,-0.15347418,-0.56303513,1.5301062
0.000428,-0.160553,-0.5636166,1.5281332
0.00043,-0.16763997,-0.564334,1.5260711
0.000432,-0.17473681,-0.56518704,1.5239198
0.000434,-0.18184523,-0.5661754,1.5216794
0.000436,-0.18896692,-0.5672987,1.5193496
0.000438,-0.19610356,-0.5685565,1.5169301
0.00044,-0.20325685,-0.5699481,1.5144209
0.000442,-0.21042846,-0.57147294,1.5118216
0.000444,-0.21762007,-0.57313025,1.5091321
0.000446,-0.22483334,-0.5749193,1.5063522
0.000448,-0.23206991,-0.5768391,1.5034814
0.00045,-0.23933142,-0.5788887,1.5005195
0.000452,-0.24661951,-0.58106714,1.4974662
0.000454,-0.25393575,-0.5833732,1.4943212
0.000456,-0.2612818,-0.58580565,1.491084
0.000458,-0.26865917,-0.5883633,1.4877543
0.00046,-0.2760695,-0.59104466,1.4843317
0.000462,-0.28351426,-0.59384835,1.4808159
0.000464,-0.29099503,-0.5967728,1.4772061
0.000466,-0.2985133,-0.5998164,1.4735022
0.000468,-0.30607057,-0.6029774,1.4697036
0.00047,-0.31366825,-0.60625404,1.4658097
0.000472,-0.32130784,-0.6096445,1.46182
0.000474,-0.32899076,-0.6131468,1.4577341
0.000476,-0.33671838,-0.6167589,1.4535514
0.000478,-0.34449205,-0.6204787,1.4492713
0.00048,-0.35231313,-0.624304,1.4448932
