Time,x,y,z
0,2,-0.13333334,-0.8333333
2e-06,1.998174,-0.15724684,-0.80821186
4e-06,1.9960501,-0.18073307,-0.78311527
6e-06,1.9936339,-0.20379308,-0.7580472
8e-06,1.9909304,-0.22642817,-0.7330112
1e-05,1.987945,-0.24863994,-0.7080109
1.2e-05,1.9846832,-0.27043024,-0.68304986
1.4e-05,1.98115,-0.29180118,-0.6581315
1.6e-05,1.9773511,-0.312755,-0.63325924
1.8e-05,1.9732915,-0.33329415,-0.60843635
2e-05,1.9689763,-0.35342136,-0.5836661
2.2e-05,1.9644108,-0.37313944,-0.5589517
2.4e-05,1.9596,-0.3924514,-0.5342961
2.6e-05,1.9545491,-0.41136038,-0.50970256
2.8e-05,1.949263,-0.42986962,-0.4851739
3e-05,1.9437469,-0.4479826,-0.46071318
3.2e-05,1.9380057,-0.46570277,-0.43632317
3.4e-05,1.9320441,-0.48303378,-0.4120067
3.6e-05,1.9258673,-0.49997932,-0.3877665
3.8e-05,1.9194798,-0.5165432,-0.36360526
4e-05,1.9128867,-0.53272927,-0.33952558
4.2e-05,1.9060925,-0.5485414,-0.31553003
4.4e-05,1.899102,-0.56398374,-0.29162106
4.6e-05,1.8919196,-0.57906014,-0.2678012
4.8e-05,1.8845501,-0.5937748,-0.24407274
5e-05,1.876998,-0.60813177,-0.22043803
5.2e-05,1.8692676,-0.6221352,-0.19689937
5.4e-05,1.8613634,-0.63578933,-0.17345895
5.6e-05,1.8532898,-0.6490982,-0.15011892
5.8e-05,1.8450512,-0.6620661,-0.12688139
6e-05,1.8366517,-0.6746973,-0.1037484
6.2e-05,1.8280957,-0.6869958,-0.08072196
6.4e-05,1.8193871,-0.6989659,-0.057803992
6.6e-05,1.8105301,-0.7106118,-0.034996398
6.8e-05,1.8015288,-0.7219377,-0.012301013
7e-05,1.7923871,-0.7329477,0.010280372
7.2e-05,1.7831091,-0.74364597,0.032746017
7.4e-05,1.7736986,-0.7540366,0.05509424
7.6e-05,1.7641593,-0.7641238,0.077323385
7.8e-05,1.7544953,-0.7739115,0.09943187
8e-05,1.7447101,-0.7834039,0.121418156
8.2e-05,1.7348074,-0.79260486,0.14328073
8.4e-05,1.7247909,-0.80151844,0.16501814
8.6e-05,1.7146642,-0.81014866,0.186629
8.8e-05,1.7044308,-0.8184994,0.20811191
9e-05,1.6940943,-0.8265745,0.22946557
9.2e-05,1.6836579,-0.8343779,0.25068873
9.4e-05,1.6731251,-0.8419133,0.2717801
9.6e-05,1.6624994,-0.8491846,0.29273856
9.8e-05,1.651784,-0.85619545,0.3135629
0.0001,1.640982,-0.8629496,0.33425206
0.000102,1.6300968,-0.86945075,0.35480493
0.000104,1.6191313,-0.87570244,0.37522054
0.000106,1.608089,-0.8817083,0.39549783
0.000108,1.5969726,-0.88747185,0.41563588
0.00011,1.5857854,-0.8929967,0.43563384
0.000112,1.5745301,-0.8982862,0.45549074
0.000114,1.5632099,-0.9033439,0.4752058
0.000116,1.5518275,-0.9081731,0.49477825
0.000118,1.540386,-0.91277725,0.51420724
0.00012,1.528888,-0.9171596,0.53349215
0.000122,1.5173361,-0.92132354,0.55263215
0.000124,1.5057335,-0.9252722,0.5716267
0.000126,1.4940825,-0.92900896,0.5904752
0.000128,1.4823858,-0.93253696,0.60917693
0.00013,1.4706461,-0.9358593,0.62773144
0.000132,1.4588659,-0.9389792,0.64613813
0.000134,1.4470478,-0.9418997,0.6643966
0.000136,1.4351943,-0.94462395,0.68250626
0.000138,1.4233077,-0.947155,0.7004668
0.00014,1.4113904,-0.9494958,0.71827775
0.000142,1.3994449,-0.95164937,0.7359388
0.000144,1.3874736,-0.9536187,0.75344956
0.000146,1.3754786,-0.9554067,0.7708097
0.000148,1.3634623,-0.95701647,0.788019
0.00015,1.351427,-0.95845073,0.80507714
0.000152,1.3393747,-0.9597124,0.821984
0.000154,1.3273075,-0.9608044,0.8387393
0.000156,1.3152276,-0.9617296,0.8553428
0.000158,1.3031373,-0.9624908,0.87179446
0.00016,1.2910383,-0.96309084,0.8880942
0.000162,1.2789328,-0.96353245,0.9042418
0.000164,1.2668227,-0.96381855,0.92023724
0.000166,1.2547101,-0.9639518,0.9360805
0.000168,1.2425966,-0.96393514,0.95177156
0.00017,1.2304844,-0.96377116,0.96731037
0.000172,1.218375,-0.96346265,0.982697
0.000174,1.2062705,-0.9630124,0.9979315
0.000176,1.1941724,-0.96242315,1.013014
