Time,x,y,z
0,1.9998667,-0.29982826,-0.83327776
2e-06,1.9959549,-0.32247302,-0.80817205
4e-06,1.9917613,-0.34468463,-0.78311735
6e-06,1.9872912,-0.36646566,-0.75811696
8e-06,1.9825501,-0.3878188,-0.73317444
1e-05,1.9775434,-0.4087471,-0.7082932
1.2e-05,1.9722762,-0.42925364,-0.6834765
1.4e-05,1.9667542,-0.44934162,-0.6587276
1.6e-05,1.9609822,-0.46901447,-0.6340497
1.8e-05,1.9549657,-0.48827574,-0.6094459
2e-05,1.9487097,-0.5071291,-0.5849193
2.2e-05,1.9422194,-0.52557814,-0.5604727
2.4e-05,1.9354998,-0.5436269,-0.5361092
2.6e-05,1.9285558,-0.56127924,-0.5118316
2.8e-05,1.9213927,-0.57853913,-0.4876426
3e-05,1.9140149,-0.5954106,-0.463545
3.2e-05,1.9064277,-0.6118978,-0.43954146
3.4e-05,1.8986357,-0.62800497,-0.41563457
3.6e-05,1.8906437,-0.6437362,-0.39182687
3.8e-05,1.8824563,-0.65909576,-0.36812085
4e-05,1.8740783,-0.6740879,-0.34451893
4.2e-05,1.8655142,-0.6887168,-0.32102346
4.4e-05,1.8567685,-0.7029869,-0.2976368
4.6e-05,1.8478457,-0.7169024,-0.27436116
4.8e-05,1.8387504,-0.7304675,-0.25119874
5e-05,1.8294866,-0.7436866,-0.22815168
5.2e-05,1.8200591,-0.7565639,-0.20522209
5.4e-05,1.8104718,-0.7691036,-0.18241198
5.6e-05,1.800729,-0.78130996,-0.15972336
5.8e-05,1.790835,-0.79318726,-0.13715811
6e-05,1.7807938,-0.80473953,-0.11471815
6.2e-05,1.7706094,-0.815971,-0.09240528
6.4e-05,1.7602859,-0.8268858,-0.07022129
6.6e-05,1.7498273,-0.83748794,-0.048167888
6.8e-05,1.7392373,-0.84778154,-0.026246753
7e-05,1.72852,-0.8577705,-0.0044595054
7.2e-05,1.717679,-0.8674588,0.017192274
7.4e-05,1.7067182,-0.8768504,0.038707063
7.6e-05,1.6956413,-0.8859492,0.06008337
7.8e-05,1.6844517,-0.8947589,0.081319764
8e-05,1.6731534,-0.90328336,0.10241485
8.2e-05,1.6617497,-0.9115263,0.12336728
8.4e-05,1.6502441,-0.91949147,0.14417575
8.6e-05,1.6386403,-0.9271824,0.16483903
8.8e-05,1.6269414,-0.93460274,0.18535587
9e-05,1.615151,-0.94175595,0.2057251
9.2e-05,1.6032726,-0.94864565,0.22594562
9.4e-05,1.5913091,-0.9552752,0.24601632
9.6e-05,1.5792638,-0.961648,0.26593617
9.8e-05,1.5671402,-0.9677674,0.28570414
0.0001,1.5549413,-0.97363675,0.30531928
0.000102,1.5426701,-0.97925925,0.32478067
0.000104,1.5303298,-0.98463815,0.3440874
0.000106,1.5179236,-0.98977655,0.36323863
0.000108,1.5054542,-0.99467766,0.38223356
0.00011,1.4929247,-0.9993445,0.4010714
0.000112,1.4803381,-1.0037802,0.41975144
0.000114,1.4676971,-1.0079876,0.43827295
0.000116,1.4550047,-1.0119698,0.4566353
0.000118,1.4422637,-1.0157297,0.4748378
0.00012,1.4294769,-1.0192701,0.49287993
0.000122,1.4166468,-1.0225939,0.5107611
0.000124,1.4037765,-1.0257038,0.52848077
0.000126,1.3908684,-1.0286028,0.54603845
0.000128,1.3779252,-1.0312935,0.5634337
0.00013,1.3649495,-1.0337787,0.58066607
0.000132,1.3519437,-1.0360609,0.5977352
0.000134,1.3389107,-1.0381429,0.6146408
0.000136,1.3258526,-1.0400274,0.63138235
0.000138,1.3127723,-1.0417168,0.6479597
0.00014,1.2996718,-1.043214,0.66437256
0.000142,1.2865537,-1.0445212,0.6806207
0.000144,1.2734206,-1.0456411,0.6967038
0.000146,1.2602743,-1.0465763,0.71262187
0.000148,1.2471176,-1.0473292,0.7283746
0.00015,1.2339525,-1.0479022,0.743962
0.000152,1.2207813,-1.048298,0.7593839
0.000154,1.2076063,-1.048519,0.77464026
0.000156,1.1944296,-1.0485675,0.789731
0.000158,1.1812534,-1.048446,0.8046562
0.00016,1.1680799,-1.048157,0.81941587
0.000162,1.1549108,-1.0477028,0.83400995
0.000164,1.1417487,-1.0470859,0.8484386
0.000166,1.1285952,-1.0463088,0.86270195
0.000168,1.1154525,-1.0453736,0.8768
0.00017,1.1023226,-1.0442829,0.890733
0.000172,1.0892074,-1.0430391,0.90450114
0.000174,1.0761087,-1.0416446,0.9181045
0.000176,1.0630286,-1.0401016,0.9315434
0.000178,1.0499687,-1.0384128,0.9448181
0.00018,1.036931,-1.0365804,0.9579288
0.000182,1.0239172,-1.0346069,0.97087574
0.000184,1.0109291,-1.0324947,0.9836594
0.000186,0.9979684,-1.0302461,0.99627995
0.000188,0.9850368,-1.0278637,1.0087378
0.00019,0.97213596,-1.0253497,1.0210334
0.000192,0.95926756,-1.0227069,1.0331671
0.000194,0.9464332,-1.0199373,1.0451392
0.000196,0.93363434,-1.0170437,1.0569503
0.000198,0.9208727,-1.0140283,1.0686009
0.0002,0.9081497,-1.010894,1.0800912
0.000202,0.8954668,-1.0076427,1.091422
0.000204,0.88282555,-1.0042775,1.1025937
0.000206,0.8702273,-1.0008005,1.1136067
0.000208,0.85767335,-0.9972144,1.1244617
0.00021,0.8451652,-0.99352175,1.1351593
0.000212,0.8327041,-0.98972505,1.1456999
0.000214,0.8202914,-0.98582697,1.1560843
0.000216,0.80792826,-0.98183006,1.1663129
0.000218,0.795616,-0.97773695,1.1763866
0.00022,0.7833557,-0.9735502,1.1863059
0.000222,0.7711487,-0.9692725,1.1960714
0.000224,0.75899595,-0.9649065,1.2056838
0.000226,0.74689865,-0.9604549,1.215144
0.000228,0.7348578,-0.9559204,1.2244524
0.00023,0.72287446,-0.9513056,1.2336099
0.000232,0.7109496,-0.9466134,1.2426172
0.000234,0.69908416,-0.94184643,1.251475
0.000236,0.6872791,-0.9370075,1.260184
0.000238,0.6755353,-0.93209934,1.2687452
0.00024,0.6638536,-0.92712474,1.2771592
0.000242,0.65223485,-0.9220866,1.2854267
0.000244,0.6406798,-0.9169876,1.2935486
0.000246,0.62918913,-0.9118307,1.3015257
0.000248,0.61776364,-0.9066187,1.309359
0.00025,0.606404,-0.9013545,1.3170489
0.000252,0.59511083,-0.896041,1.3245965
0.000254,0.5838848,-0.89068097,1.3320028
0.000256,0.5727263,-0.88527745,1.3392682
0.000258,0.56163603,-0.8798333,1.346394
0.00026,0.55061436,-0.87435144,1.3533808
0.000262,0.5396619,-0.86883485,1.3602295
0.000264,0.5287789,-0.8632865,1.3669411
0.000266,0.5179658,-0.8577093,1.3735163
0.000268,0.507223,-0.8521062,1.3799561
0.00027,0.49655074,-0.84648025,1.3862613
0.000272,0.48594934,-0.8408344,1.3924329
0.000274,0.47541898,-0.83517164,1.3984717
0.000276,0.4649599,-0.8294949,1.4043787
0.000278,0.4545722,-0.8238073,1.4101546
0.00028,0.44425604,-0.8181118,1.4158005
0.000282,0.4340115,-0.81241137,1.4213171
0.000284,0.4238386,-0.806709,1.4267055
0.000286,0.41373736,-0.80100775,1.4319665
0.000288,0.40370774,-0.79531056,1.437101
0.00029,0.39374968,-0.78962046,1.44211
0.000292,0.38386303,-0.78394043,1.4469943
0.000294,0.3740477,-0.7782735,1.4517548
0.000296,0.3643035,-0.77262264,1.4563924
0.000298,0.3546302,-0.7669908,1.4609079
0.0003,0.34502754,-0.761381,1.4653025
0.000302,0.3354952,-0.7557961,1.4695767
0.000304,0.32603285,-0.7502391,1.4737316
0.000306,0.3166402,-0.7447129,1.4777681
0.000308,0.30731675,-0.73922044,1.481687
0.00031,0.29806212,-0.7337647,1.4854891
0.000312,0.2888758,-0.7283485,1.4891754
0.000314,0.27975726,-0.72297466,1.4927467
0.000316,0.270706,-0.7176461,1.4962038
0.000318,0.2617214,-0.7123657,1.4995476
0.00032,0.25280285,-0.70713615,1.5027789
0.000322,0.24394967,-0.70196027,1.5058985
0.000324,0.2351612,-0.6968409,1.5089073
0.000326,0.22643669,-0.6917806,1.5118061
0.000328,0.21777537,-0.68678236,1.5145956
0.00033,0.2091765,-0.6818486,1.5172768
0.000332,0.20063919,-0.6769821,1.5198501
0.000334,0.19216262,-0.6721854,1.5223167
0.000336,0.18374586,-0.66746116,1.5246772
0.000338,0.175388,-0.66281193,1.5269321
0.00034,0.16708808,-0.6582402,1.5290825
0.000342,0.15884513,-0.65374845,1.5311289
0.000344,0.1506581,-0.64933914,1.5330721
0.000346,0.14252596,-0.64501464,1.5349128
0.000348,0.13444759,-0.64077735,1.5366516
0.00035,0.12642193,-0.63662964,1.5382893
0.000352,0.118447825,-0.63257366,1.5398264
0.000354,0.1105241,-0.62861174,1.5412636
0.000356,0.10264957,-0.6247461,1.5426016
0.000358,0.09482299,-0.6209788,1.5438409
0.00036,0.08704313,-0.61731195,1.5449822
0.000362,0.07930871,-0.61374766,1.546026
0.000364,0.07161844,-0.6102879,1.5469729
0.000366,0.063970976,-0.6069346,1.5478234
0.000368,0.056364972,-0.6036897,1.5485781
0.00037,0.04879906,-0.6005549,1.5492376
0.000372,0.041271847,-0.59753215,1.5498021
0.000374,0.033781912,-0.59462315,1.5502723
0.000376,0.026327813,-0.5918295,1.5506487
0.000378,0.018908087,-0.5891529,1.5509316
0.00038,0.011521255,-0.5865948,1.5511214
0.000382,0.004165826,-0.5841569,1.5512186
0.000384,-0.003159724,-0.5818404,1.5512236
0.000386,-0.010456932,-0.5796468,1.5511367
0.000388,-0.017727353,-0.5775774,1.5509583
0.00039,-0.024972552,-0.5756335,1.5506887
0.000392,-0.03219411,-0.5738162,1.5503283
0.000394,-0.039393626,-0.5721266,1.5498772
0.000396,-0.04657272,-0.57056594,1.5493357
0.000398,-0.05373301,-0.56913495,1.5487043
0.0004,-0.060876135,-0.56783473,1.5479828
0.000402,-0.06800374,-0.56666607,1.5471718
0.000404,-0.075117484,-0.5656298,1.5462713
0.000406,-0.082219034,-0.56472653,1.5452815
0.000408,-0.08931007,-0.563957,1.5442026
0.00041,-0.09639228,-0.5633217,1.5430346
0.000412,-0.10346734,-0.5628212,1.5417776
0.000414,-0.110536955,-0.5624559,1.5404317
0.000416,-0.117602825,-0.5622261,1.538997
0.000418,-0.12466666,-0.5621322,1.5374737
0.00042,-0.13173017,-0.56217426,1.5358615
0.000422,-0.13879503,-0.56235254,1.5341606
0.000424,-0.14586301,-0.56266695,1.5323709
0.000426,-0.15293577,-0.5631176,1.5304923
0.000428,-0.16001506,-0.5637043,1.5285249
0.00043,-0.16710256,-0.5644269,1.5264684
0.000432,-0.17419998,-0.5652852,1.5243229
0.000434,-0.18130904,-0.56627876,1.5220879
0.000436,-0.18843143,-0.56740725,1.5197637
0.000438,-0.19556883,-0.56867015,1.51735
0.00044,-0.20272294,-0.57006687,1.5148463
0.000442,-0.20989543,-0.5715968,1.5122527
0.000444,-0.21708797,-0.57325923,1.5095688
0.000446,-0.22430223,-0.5750533,1.5067945
0.000448,-0.23153985,-0.5769781,1.5039293
0.00045,-0.23880245,-0.5790327,1.500973
0.000452,-0.24609168,-0.5812161,1.4979253
0.000454,-0.25340915,-0.5835271,1.4947858
0.000456,-0.26075643,-0.5859645,1.4915541
0.000458,-0.26813513,-0.58852696,1.4882301
0.00046,-0.27554682,-0.5912132,1.4848131
0.000462,-0.28299302,-0.5940217,1.4813026
0.000464,-0.29047525,-0.59695095,1.4776986
0.000466,-0.29799503,-0.59999925,1.4740001
0.000468,-0.30555385,-0.60316503,1.470207
0.00047,-0.31315318,-0.6064464,1.4663186
0.000472,-0.32079443,-0.6098415,1.4623345
0.000474,-0.32847908,-0.6133485,1.4582541
0.000476,-0.33620846,-0.61696523,1.4540769
0.000478,-0.34398395,-0.62068963,1.4498022
0.00048,-0.3518069,-0.62451947,1.4454296
0.000482,-0.35967863,-0.62845254,1.4409583
0.000484,-0.3676004,-0.63248646,1.4363878
0.000486,-0.3755735,-0.6366188,1.4317175
0.000488,-0.3835991,-0.64084697,1.4269466
0.00049,-0.3916784,-0.6451685,1.4220747
0.000492,-0.39981258,-0.6495806,1.4171008
0.000494,-0.40800276,-0.65408057,1.4120243
0.000496,-0.41625,-0.65866554,1.4068446
0.000498,-0.42455536,-0.6633326,1.4015609
0.0005,-0.4329199,-0.6680788,1.3961725
0.000502,-0.4413445,-0.672901,1.3906786
0.000504,-0.44983017,-0.67779607,1.3850784
0.000506,-0.45837778,-0.6827608,1.3793713
0.000508,-0.46698818,-0.6877918,1.3735564
0.00051,-0.4756622,-0.6928859,1.3676329
0.000512,-0.4844006,-0.69803935,1.3615999
0.000514,-0.49320412,-0.70324886,1.3554568
0.000516,-0.5020734,-0.70851076,1.3492026
0.000518,-0.5110091,-0.7138213,1.3428366
0.00052,-0.52001184,-0.71917677,1.336358
0.000522,-0.52908206,-0.7245734,1.3297657
0.000524,-0.5382204,-0.7300072,1.3230591
0.000526,-0.5474272,-0.7354743,1.3162372
0.000528,-0.55670285,-0.74097055,1.3092991
0.00053,-0.5660477,-0.746492,1.3022442
0.000532,-0.57546216,-0.7520344,1.2950712
