Time,y,x
0,0,2
1e-05,-0.019882392,1.9999005
2e-05,-0.03952926,1.9996034
3e-05,-0.05894025,1.9991109
4e-05,-0.07811511,1.9984255
5e-05,-0.097053684,1.9975494
6e-05,-0.11575594,1.9964852
7e-05,-0.13422199,1.9952351
8e-05,-0.15245204,1.9938016
9e-05,-0.17044641,1.9921869
0.0001,-0.18820551,1.9903934
0.00011,-0.2057299,1.9884236
0.00012,-0.22302017,1.9862796
0.00013,-0.24007702,1.983964
0.00014,-0.25690126,1.9814788
0.00015,-0.27349374,1.9788266
0.00016,-0.28985545,1.9760097
0.00017,-0.30598736,1.9730303
0.00018,-0.32189056,1.9698907
0.00019,-0.33756626,1.9665933
0.0002,-0.35301566,1.9631401
0.00021,-0.36824003,1.9595337
0.00022,-0.38324073,1.9557761
0.00023,-0.39801913,1.9518696
0.00024,-0.41257668,1.9478165
0.00025,-0.42691484,1.9436189
0.00026,-0.44103515,1.939279
0.00027,-0.45493922,1.9347988
0.00028,-0.4686286,1.9301808
0.00029,-0.48210493,1.925427
0.0003,-0.4953699,1.9205395
0.00031,-0.50842524,1.9155203
0.00032,-0.5212726,1.9103717
0.00033,-0.53391373,1.9050956
0.00034,-0.5463505,1.8996941
0.00035,-0.55858463,1.8941692
0.00036,-0.5706179,1.888523
0.00037,-0.5824522,1.8827575
0.00038,-0.59408927,1.8768747
0.00039,-0.6055311,1.8708764
0.0004,-0.6167794,1.8647647
0.00041,-0.62783617,1.8585415
0.00042,-0.6387031,1.8522086
0.00043,-0.64938223,1.845768
0.00044,-0.6598754,1.8392216
0.00045,-0.67018443,1.8325711
0.00046,-0.68031126,1.8258184
0.00047,-0.69025767,1.8189654
0.00048,-0.7000257,1.8120139
0.00049,-0.709617,1.8049655
0.0005,-0.71903366,1.7978221
0.00051,-0.7282774,1.7905854
0.00052,-0.7373501,1.7832571
0.00053,-0.7462536,1.775839
0.00054,-0.7549898,1.7683327
0.00055,-0.7635605,1.7607398
0.00056,-0.7719674,1.753062
0.00057,-0.78021246,1.745301
0.00058,-0.7882974,1.7374582
0.00059,-0.79622406,1.7295356
0.0006,-0.8039941,1.7215344
0.00061,-0.81160945,1.7134562
0.00062,-0.81907165,1.7053026
0.00063,-0.8263826,1.6970752
0.00064,-0.8335439,1.6887755
0.00065,-0.84055734,1.6804049
0.00066,-0.8474245,1.6719649
0.00067,-0.85414714,1.6634569
0.00068,-0.8607269,1.6548823
0.00069,-0.8671654,1.6462427
0.0007,-0.8734642,1.6375395
0.00071,-0.8796251,1.6287739
0.00072,-0.88564944,1.6199474
0.00073,-0.8915389,1.6110615
0.00074,-0.8972951,1.6021172
0.00075,-0.90291953,1.5931159
0.00076,-0.9084137,1.5840592
0.00077,-0.9137791,1.5749481
0.00078,-0.91901726,1.565784
0.00079,-0.9241296,1.5565681
0.0008,-0.9291177,1.5473019
0.00081,-0.9339828,1.5379863
0.00082,-0.9387265,1.5286226
0.00083,-0.94335014,1.5192121
0.00084,-0.94785506,1.509756
0.00085,-0.95224273,1.5002555
0.00086,-0.9565145,1.4907116
0.00087,-0.9606716,1.4811255
0.00088,-0.9647154,1.4714985
0.00089,-0.96864736,1.4618316
0.0009,-0.9724686,1.4521259
